Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
01 Pesanan Tempatan Cara Bayaran EFT Tiada Pemfaktoran,Chrome 72.0.3626.121,Perolehan scenario,2019-03-25 12:20:39,2019-03-25 12:28:52,8m - 13.264s,PASSED
,,,,,,
Test Cases/Perolehan/006 Arahan Bayaran/001 Arahan Bayaran - EFT,Chrome 72.0.3626.121,Create new REKOD BARU for arahan bayaran after kemasukan terimaan barang is saved,2019-03-25 12:20:39,2019-03-25 12:22:31,1m - 52.259s,PASSED
reusablefunctions.reusablefunctions.openbrowser(),Chrome 72.0.3626.121,Open browser,2019-03-25 12:20:40,2019-03-25 12:20:44,4.216s,PASSED
"reusablefunctions.reusablefunctions.Login(findTestData(""ispekstestdata"").getValue(1, 4), findTestData(""ispekstestdata"").getValue(2, 4))",Chrome 72.0.3626.121,Login into the system,2019-03-25 12:20:44,2019-03-25 12:20:56,12.381s,PASSED
delay(3),Chrome 72.0.3626.121,Delay,2019-03-25 12:20:56,2019-03-25 12:20:59,3.003s,PASSED
"click(findTestObject(""Perolehan/TukarPeranan/IconTukarPeranan""))",Chrome 72.0.3626.121,Click on icon Tukar Peranan,2019-03-25 12:20:59,2019-03-25 12:20:59,0.092s,PASSED
"click(findTestObject(""Perolehan/TukarPeranan/input_TukarPeranan"", [""value"":""255""]))",Chrome 72.0.3626.121,Click Radio Button Penyedia PTJ,2019-03-25 12:20:59,2019-03-25 12:20:59,0.095s,PASSED
"click(findTestObject(""Perolehan/TukarPeranan/button_Ya""))",Chrome 72.0.3626.121,Click Ya to confirm change of role,2019-03-25 12:20:59,2019-03-25 12:20:59,0.071s,PASSED
delay(20),Chrome 72.0.3626.121,,2019-03-25 12:20:59,2019-03-25 12:21:20,20.005s,PASSED
"verifyTextPresent(""Peranan : [Penyedia] Peringkat : [PTJ]"", false)",Chrome 72.0.3626.121,Verify Peranan is now Penyedia PTJ,2019-03-25 12:21:20,2019-03-25 12:21:21,1.844s,PASSED
"click(findTestObject(""Perolehan/001 Left_Menu_Selection/a_ExpandMenuonLeft""))",Chrome 72.0.3626.121,Click on Menu Sisi to display Menu selections,2019-03-25 12:21:21,2019-03-25 12:21:22,0.384s,PASSED
"delay(3, STOP_ON_FAILURE)",Chrome 72.0.3626.121,Delay,2019-03-25 12:21:22,2019-03-25 12:21:25,3.008s,PASSED
"click(findTestObject(""Perolehan/001 Left_Menu_Selection/div_PanelTitlePerolehan""))",Chrome 72.0.3626.121,Select Perolehan Sub-menu,2019-03-25 12:21:25,2019-03-25 12:21:25,0.084s,PASSED
"delay(3, STOP_ON_FAILURE)",Chrome 72.0.3626.121,Delay,2019-03-25 12:21:25,2019-03-25 12:21:28,3.005s,PASSED
"click(findTestObject(""Perolehan/001 Left_Menu_Selection/div_Menu_ArahanBayaran""))",Chrome 72.0.3626.121,Click on Menu sisi and select Arahan Bayaran,2019-03-25 12:21:28,2019-03-25 12:21:28,0.140s,PASSED
assert true,Chrome 72.0.3626.121,,2019-03-25 12:21:28,2019-03-25 12:21:28,0.001s,PASSED
delay(3),Chrome 72.0.3626.121,Delay,2019-03-25 12:21:28,2019-03-25 12:21:31,3.002s,PASSED
"waitForElementClickable(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/button_REKOD_BARU""), 180)",Chrome 72.0.3626.121,wait for the element to become clickable,2019-03-25 12:21:31,2019-03-25 12:21:31,0.069s,PASSED
"click(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/button_REKOD_BARU""))",Chrome 72.0.3626.121,Arahan Bayaran page loaded successfully,2019-03-25 12:21:31,2019-03-25 12:21:31,0.078s,PASSED
delay(3),Chrome 72.0.3626.121,Delay,2019-03-25 12:21:31,2019-03-25 12:21:34,3.003s,PASSED
"click(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/Drop_Down_Jenis_Baucar_Bayaran""), STOP_ON_FAILURE)",Chrome 72.0.3626.121,Click Jenis Baucar Bayaran drop down,2019-03-25 12:21:34,2019-03-25 12:21:34,0.094s,PASSED
delay(3),Chrome 72.0.3626.121,Delay,2019-03-25 12:21:34,2019-03-25 12:21:37,3.006s,PASSED
"click(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/Select_Kod_Jenis_Baucar_Bayaran""))",Chrome 72.0.3626.121,Select Kod Jenis Baucar Bayaran that is ARAHAN BAYARAN-PESANAN TEMPATAN,2019-03-25 12:21:37,2019-03-25 12:21:37,0.201s,PASSED
delay(3),Chrome 72.0.3626.121,Delay,2019-03-25 12:21:37,2019-03-25 12:21:40,3.004s,PASSED
"click(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/Drop_Down_Nama_Pembekal""))",Chrome 72.0.3626.121,Click Nama Pembekal drop down,2019-03-25 12:21:40,2019-03-25 12:21:41,0.130s,PASSED
delay(3),Chrome 72.0.3626.121,Delay,2019-03-25 12:21:41,2019-03-25 12:21:44,3.005s,PASSED
"setText(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/input_kod_pembekal""), nama_pembekal)",Chrome 72.0.3626.121,,2019-03-25 12:21:44,2019-03-25 12:21:44,0.598s,PASSED
delay(10),Chrome 72.0.3626.121,,2019-03-25 12:21:44,2019-03-25 12:21:54,10.003s,PASSED
"click(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/Select_Nama_Pembekal"", [""text"":nama_pembekal]))",Chrome 72.0.3626.121,Select Nama Pembekal AA DUA,2019-03-25 12:21:54,2019-03-25 12:21:54,0.103s,PASSED
delay(5),Chrome 72.0.3626.121,Delay,2019-03-25 12:21:54,2019-03-25 12:21:59,5.004s,PASSED
"click(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/Drop_Down_Cara_Bayaran""))",Chrome 72.0.3626.121,click on drop down cara bayaran to select,2019-03-25 12:21:59,2019-03-25 12:21:59,0.087s,PASSED
"click(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/Select_Cara_Bayaran - EFT""))",Chrome 72.0.3626.121,select cara bayaran as CEK,2019-03-25 12:21:59,2019-03-25 12:21:59,0.088s,PASSED
mydate = new java.util.Date(),Chrome 72.0.3626.121,"Get todays year, date and time",2019-03-25 12:21:59,2019-03-25 12:21:59,0.007s,PASSED
"setText(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/input_Perihal""), ""This is a test for Arahan Bayaran Julia "" + mydate)",Chrome 72.0.3626.121,Input Perihal,2019-03-25 12:21:59,2019-03-25 12:22:00,0.252s,PASSED
delay(3),Chrome 72.0.3626.121,Delay,2019-03-25 12:22:00,2019-03-25 12:22:03,3.002s,PASSED
"doubleClick(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/Maklumat_Terimaan_Barang_line_1""))",Chrome 72.0.3626.121,Click on 1st item from the list of records,2019-03-25 12:22:03,2019-03-25 12:22:03,0.388s,PASSED
delay(3),Chrome 72.0.3626.121,Delay,2019-03-25 12:22:03,2019-03-25 12:22:06,3.004s,PASSED
RN = Math.random() * 10000,Chrome 72.0.3626.121,int RN is created to generete random number,2019-03-25 12:22:06,2019-03-25 12:22:06,0.017s,PASSED
println(RN),Chrome 72.0.3626.121,Print the RN value,2019-03-25 12:22:06,2019-03-25 12:22:06,0.000s,PASSED
"setText(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/input_No_Invois""), ""INV0"" + RN)",Chrome 72.0.3626.121,Input No Invois with random number generated from RN,2019-03-25 12:22:06,2019-03-25 12:22:06,0.159s,PASSED
delay(3),Chrome 72.0.3626.121,delay,2019-03-25 12:22:06,2019-03-25 12:22:09,3.004s,PASSED
"setText(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/input_Amaun_Invois_RM""), TotalAmaunPT)",Chrome 72.0.3626.121,Input Amaun,2019-03-25 12:22:09,2019-03-25 12:22:09,0.111s,PASSED
delay(3),Chrome 72.0.3626.121,delay,2019-03-25 12:22:09,2019-03-25 12:22:12,3.005s,PASSED
"click(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/Label_Tarikh_Invois""))",Chrome 72.0.3626.121,click on the label Tarikh Invois,2019-03-25 12:22:12,2019-03-25 12:22:13,0.142s,PASSED
"click(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/a_Tarikh_Invois""), STOP_ON_FAILURE)",Chrome 72.0.3626.121,Click on Date Picker to display calendar to choose tarikh invois date,2019-03-25 12:22:13,2019-03-25 12:22:13,0.088s,PASSED
delay(2),Chrome 72.0.3626.121,Delay,2019-03-25 12:22:13,2019-03-25 12:22:15,2.004s,PASSED
"click(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/a_Today_Tarikh_Invois""), STOP_ON_FAILURE)",Chrome 72.0.3626.121,Click Today,2019-03-25 12:22:15,2019-03-25 12:22:15,0.086s,PASSED
"click(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/a_Tarikh Terima Oleh Kewangan""), STOP_ON_FAILURE)",Chrome 72.0.3626.121,Click on Date Picker to display calendar to choose tarikh terima oleh kewangan date,2019-03-25 12:22:15,2019-03-25 12:22:15,0.100s,PASSED
delay(2),Chrome 72.0.3626.121,Delay,2019-03-25 12:22:15,2019-03-25 12:22:17,2.005s,PASSED
"click(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/a_Today_Tarikh_Terima_Oleh_Kewangan""), STOP_ON_FAILURE)",Chrome 72.0.3626.121,Click today,2019-03-25 12:22:17,2019-03-25 12:22:17,0.085s,PASSED
"click(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/button_Save_Maklumat_Terima_Barang""))",Chrome 72.0.3626.121,Click on Save icon to save maklumat terima barang,2019-03-25 12:22:17,2019-03-25 12:22:17,0.078s,PASSED
"click(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/button_Simpan""))",Chrome 72.0.3626.121,Click on Simpan button to save the record,2019-03-25 12:22:17,2019-03-25 12:22:17,0.183s,PASSED
"click(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/button_Ya_Simpan""))",Chrome 72.0.3626.121,Click Ya to confirm save,2019-03-25 12:22:17,2019-03-25 12:22:17,0.117s,PASSED
delay(3),Chrome 72.0.3626.121,Delay,2019-03-25 12:22:17,2019-03-25 12:22:20,3.005s,PASSED
"click(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/button_OK_Rekod_telah_simpan""))",Chrome 72.0.3626.121,Click OK button to close the prompt box,2019-03-25 12:22:20,2019-03-25 12:22:20,0.077s,PASSED
"click(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/button_Senarai_Semak""))",Chrome 72.0.3626.121,Click on Senarai Semak button to select list of senarai semak,2019-03-25 12:22:20,2019-03-25 12:22:21,0.128s,PASSED
"check(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/Senarai_Semak_check_no_1""))",Chrome 72.0.3626.121,Check on the first item from senarai semak ,2019-03-25 12:22:21,2019-03-25 12:22:21,0.174s,PASSED
"click(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/button_senarai_Semak_simpan""))",Chrome 72.0.3626.121,Click on Simpan to save the Senarai Semak,2019-03-25 12:22:21,2019-03-25 12:22:21,0.105s,PASSED
delay(3),Chrome 72.0.3626.121,Delay,2019-03-25 12:22:21,2019-03-25 12:22:24,3.004s,PASSED
"click(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/button_OK_Rekod_telah_simpan""))",Chrome 72.0.3626.121,Click OK to close the prompt box,2019-03-25 12:22:24,2019-03-25 12:22:24,0.077s,PASSED
"click(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/Senarai_Semak_X_close""))",Chrome 72.0.3626.121,Click X to close the popup window,2019-03-25 12:22:24,2019-03-25 12:22:24,0.073s,PASSED
"click(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/button_Sah_Simpan""))",Chrome 72.0.3626.121,Click Sah Simpan button to Sah Simpan the record,2019-03-25 12:22:24,2019-03-25 12:22:24,0.105s,PASSED
"click(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/button_Ya_Simpan""))",Chrome 72.0.3626.121,Click Ya to confirm ,2019-03-25 12:22:24,2019-03-25 12:22:24,0.093s,PASSED
delay(3),Chrome 72.0.3626.121,Delay,2019-03-25 12:22:24,2019-03-25 12:22:27,3.003s,PASSED
takeScreenshot(),Chrome 72.0.3626.121,Take screenshot of current display,2019-03-25 12:22:27,2019-03-25 12:22:27,0.335s,PASSED
"attribute = getText(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/Get_Arahan_Bayaran_RekodID""))",Chrome 72.0.3626.121,Get text of Rekod ID from the alert popup,2019-03-25 12:22:27,2019-03-25 12:22:28,0.067s,PASSED
println(attribute),Chrome 72.0.3626.121,print the value,2019-03-25 12:22:28,2019-03-25 12:22:28,0.000s,PASSED
ArahanBayaranID = attribute[(46..60)],Chrome 72.0.3626.121,create new variable to only take rekod id from the get text value,2019-03-25 12:22:28,2019-03-25 12:22:28,0.003s,PASSED
println(ArahanBayaranID),Chrome 72.0.3626.121,print the value,2019-03-25 12:22:28,2019-03-25 12:22:28,0.001s,PASSED
ArahanBayaranRekodID = ArahanBayaranID,Chrome 72.0.3626.121,set global variable value of RekodID with variable RekodNo,2019-03-25 12:22:28,2019-03-25 12:22:28,0.000s,PASSED
delay(3),Chrome 72.0.3626.121,delay,2019-03-25 12:22:28,2019-03-25 12:22:31,3.003s,PASSED
"click(findTestObject(""Perolehan/006 Arahan Bayaran/001 Pesanan Tempatan/button_OK_Rekod_telah_simpan""))",Chrome 72.0.3626.121,Click OK to close the prompt box,2019-03-25 12:22:31,2019-03-25 12:22:31,0.096s,PASSED
closeBrowser(),Chrome 72.0.3626.121,Close the browser,2019-03-25 12:22:31,2019-03-25 12:22:31,0.691s,PASSED
,,,,,,
Test Cases/Perolehan/006 Arahan Bayaran/005 Penyemak Pesanan Tempatan,Chrome 72.0.3626.121,Penyemak will check the record and click Semak button to verify,2019-03-25 12:22:31,2019-03-25 12:23:37,1m - 5.614s,PASSED
reusablefunctions.reusablefunctions.openbrowser(),Chrome 72.0.3626.121,open browser and enter ispek URL,2019-03-25 12:22:32,2019-03-25 12:22:34,2.813s,PASSED
"reusablefunctions.reusablefunctions.Login(findTestData(""ispekstestdata"").getValue(1, 5), findTestData(""ispekstestdata"").getValue(2, 5))",Chrome 72.0.3626.121,login into the system as PROC test,2019-03-25 12:22:34,2019-03-25 12:22:46,11.495s,PASSED
"click(findTestObject(""Perolehan/TukarPeranan/IconTukarPeranan""))",Chrome 72.0.3626.121,Click on icon Tukar Peranan,2019-03-25 12:22:46,2019-03-25 12:22:46,0.071s,PASSED
"click(findTestObject(""Perolehan/TukarPeranan/input_TukarPeranan"", [""value"":""372""]))",Chrome 72.0.3626.121,Click Radio Button Penyedia PTJ,2019-03-25 12:22:46,2019-03-25 12:22:46,0.086s,PASSED
"click(findTestObject(""Perolehan/TukarPeranan/button_Ya""))",Chrome 72.0.3626.121,Click Ya to confirm change of role,2019-03-25 12:22:46,2019-03-25 12:22:46,0.067s,PASSED
delay(20),Chrome 72.0.3626.121,,2019-03-25 12:22:46,2019-03-25 12:23:06,20.004s,PASSED
"verifyTextPresent(""Peranan : [Penyemak] Peringkat : [PTJ]"", false)",Chrome 72.0.3626.121,Verify Peranan is now Penyemak PTJ,2019-03-25 12:23:06,2019-03-25 12:23:07,0.652s,PASSED
delay(5),Chrome 72.0.3626.121,,2019-03-25 12:23:07,2019-03-25 12:23:12,5.003s,PASSED
"doubleClick(findTestObject(""Perolehan/006 Arahan Bayaran/004 Penyemak/Dashboard_Senarai_Semak""))",Chrome 72.0.3626.121,,2019-03-25 12:23:12,2019-03-25 12:23:12,0.257s,PASSED
delay(3),Chrome 72.0.3626.121,,2019-03-25 12:23:12,2019-03-25 12:23:15,3.004s,PASSED
"setText(findTestObject(""Perolehan/006 Arahan Bayaran/004 Penyemak/input_TABLE_NAME_noRekod""), ArahanBayaranRekodID)",Chrome 72.0.3626.121,,2019-03-25 12:23:15,2019-03-25 12:23:15,0.317s,PASSED
delay(3),Chrome 72.0.3626.121,,2019-03-25 12:23:15,2019-03-25 12:23:18,3.002s,PASSED
"doubleClick(findTestObject(""Perolehan/006 Arahan Bayaran/004 Penyemak/select_noRekod"", [""text"":ArahanBayaranRekodID]))",Chrome 72.0.3626.121,,2019-03-25 12:23:18,2019-03-25 12:23:18,0.074s,PASSED
delay(3),Chrome 72.0.3626.121,,2019-03-25 12:23:18,2019-03-25 12:23:21,3.003s,PASSED
"click(findTestObject(""Perolehan/006 Arahan Bayaran/004 Penyemak/button_Senarai_Semak""))",Chrome 72.0.3626.121,,2019-03-25 12:23:21,2019-03-25 12:23:22,0.206s,PASSED
delay(3),Chrome 72.0.3626.121,,2019-03-25 12:23:22,2019-03-25 12:23:25,3.004s,PASSED
"verifyElementChecked(findTestObject(""Perolehan/006 Arahan Bayaran/004 Penyemak/Check_Senarai_Semak_Item""), 3)",Chrome 72.0.3626.121,,2019-03-25 12:23:25,2019-03-25 12:23:25,0.054s,PASSED
"click(findTestObject(""Perolehan/006 Arahan Bayaran/004 Penyemak/button_X_Close_Senarai_Semak""))",Chrome 72.0.3626.121,,2019-03-25 12:23:25,2019-03-25 12:23:25,0.066s,PASSED
"click(findTestObject(""Perolehan/006 Arahan Bayaran/004 Penyemak/button_Semak""))",Chrome 72.0.3626.121,,2019-03-25 12:23:25,2019-03-25 12:23:25,0.078s,PASSED
"click(findTestObject(""Perolehan/006 Arahan Bayaran/004 Penyemak/button_Ya_Semak""))",Chrome 72.0.3626.121,,2019-03-25 12:23:25,2019-03-25 12:23:25,0.081s,PASSED
delay(3),Chrome 72.0.3626.121,,2019-03-25 12:23:25,2019-03-25 12:23:28,3.003s,PASSED
takeScreenshot(),Chrome 72.0.3626.121,,2019-03-25 12:23:28,2019-03-25 12:23:28,0.307s,PASSED
delay(8),Chrome 72.0.3626.121,,2019-03-25 12:23:28,2019-03-25 12:23:36,8.004s,PASSED
"waitForElementClickable(findTestObject(""Perolehan/006 Arahan Bayaran/004 Penyemak/button_OK_berjaya_disemak""), 240)",Chrome 72.0.3626.121,,2019-03-25 12:23:36,2019-03-25 12:23:36,0.052s,PASSED
"click(findTestObject(""Perolehan/006 Arahan Bayaran/004 Penyemak/button_OK_berjaya_disemak""))",Chrome 72.0.3626.121,,2019-03-25 12:23:36,2019-03-25 12:23:36,0.066s,PASSED
closeBrowser(STOP_ON_FAILURE),Chrome 72.0.3626.121,,2019-03-25 12:23:36,2019-03-25 12:23:37,0.657s,PASSED
,,,,,,
Test Cases/Perolehan/007 Proses Baucar Bayaran/001 Pelulus Proses Baucar Bayaran - EFT,Chrome 72.0.3626.121,Pelulus will process the baucar bayaran,2019-03-25 12:23:37,2019-03-25 12:25:45,2m - 7.768s,PASSED
reusablefunctions.reusablefunctions.openbrowser(),Chrome 72.0.3626.121,open browser and enter ispek url,2019-03-25 12:23:37,2019-03-25 12:23:40,2.793s,PASSED
"reusablefunctions.reusablefunctions.Login(findTestData(""ispekstestdata"").getValue(1, 7), findTestData(""ispekstestdata"").getValue(2, 7))",Chrome 72.0.3626.121,login into the application,2019-03-25 12:23:40,2019-03-25 12:23:51,11.408s,PASSED
"click(findTestObject(""Perolehan/TukarPeranan/IconTukarPeranan""))",Chrome 72.0.3626.121,Click on icon Tukar Peranan,2019-03-25 12:23:51,2019-03-25 12:23:51,0.075s,PASSED
"click(findTestObject(""Perolehan/TukarPeranan/input_TukarPeranan"", [""value"":""220""]))",Chrome 72.0.3626.121,Click Radio Button Penyedia PTJ,2019-03-25 12:23:51,2019-03-25 12:23:52,0.100s,PASSED
"click(findTestObject(""Perolehan/TukarPeranan/button_Ya""))",Chrome 72.0.3626.121,Click Ya to confirm change of role,2019-03-25 12:23:52,2019-03-25 12:23:52,0.082s,PASSED
delay(20),Chrome 72.0.3626.121,,2019-03-25 12:23:52,2019-03-25 12:24:12,20.003s,PASSED
"verifyTextPresent(""Peranan : [Pelulus] Peringkat : [PTJ]"", false)",Chrome 72.0.3626.121,Verify Peranan is now Pelulus PTJ,2019-03-25 12:24:12,2019-03-25 12:24:13,1.623s,PASSED
"click(findTestObject(""Perolehan/007 Proses Baucar Bayaran/001 Pelulus PT/Menu_Sisi""))",Chrome 72.0.3626.121,click on menu sisi to expand the menu on the left,2019-03-25 12:24:13,2019-03-25 12:24:14,0.364s,PASSED
delay(3),Chrome 72.0.3626.121,delay,2019-03-25 12:24:14,2019-03-25 12:24:17,3.004s,PASSED
"click(findTestObject(""Perolehan/007 Proses Baucar Bayaran/001 Pelulus PT/Menu_Akaun Belum Bayar""))",Chrome 72.0.3626.121,select menu akaun belum bayar,2019-03-25 12:24:17,2019-03-25 12:24:17,0.069s,PASSED
delay(3),Chrome 72.0.3626.121,delay,2019-03-25 12:24:17,2019-03-25 12:24:20,3.003s,PASSED
"click(findTestObject(""Perolehan/007 Proses Baucar Bayaran/001 Pelulus PT/Menu_Expand_Baucar_Bayaran""))",Chrome 72.0.3626.121,expand baucar bayaran menu selection,2019-03-25 12:24:20,2019-03-25 12:24:20,0.071s,PASSED
