Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
03 Inden Kerja Cara Bayaran EFT Dengan Pemfaktoran,Chrome 73.0.3683.86,,2019-04-05 14:49:10,2019-04-05 15:03:58,14m - 47.945s,PASSED
,,,,,,
Test Cases/Perolehan/002 Rekod Baru oleh Penyedia/005 Inden Kerja - EFT,Chrome 73.0.3683.86,,2019-04-05 14:49:10,2019-04-05 14:50:42,1m - 32.181s,PASSED
"callTestCase(findTestCase(""Perolehan/001 Left Menu Selection/Select Menu Pesanan Tempatan""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,Call test to open menu sisi and then select pesanan tempatan / inden kerja,2019-04-05 14:49:10,2019-04-05 14:49:56,45.424s,PASSED
"rekodbaru = findWebElement(findTestObject(""Perolehan/002 Penyedia_RekodBaru/005 Rekod Baru Inden Kerja/button_Rekod_Baru""), 300)",Chrome 73.0.3683.86,declare object to find as an element,2019-04-05 14:49:56,2019-04-05 14:49:56,0.059s,PASSED
"executeJavaScript(""arguments[0].click"", Arrays.asList(rekodbaru))",Chrome 73.0.3683.86,click on the element using javascript,2019-04-05 14:49:56,2019-04-05 14:49:56,0.043s,PASSED
delay(5),Chrome 73.0.3683.86,,2019-04-05 14:49:56,2019-04-05 14:50:01,5.003s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/005 Rekod Baru Inden Kerja/button_Rekod_Baru""))",Chrome 73.0.3683.86,Click Rekod Baru button,2019-04-05 14:50:01,2019-04-05 14:50:01,0.258s,PASSED
delay(3),Chrome 73.0.3683.86,delay,2019-04-05 14:50:01,2019-04-05 14:50:04,3.005s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/005 Rekod Baru Inden Kerja/Drop_down_Jenis_Urusniaga""))",Chrome 73.0.3683.86,Click on drop down Jenis Urusniaga,2019-04-05 14:50:04,2019-04-05 14:50:04,0.116s,PASSED
delay(2),Chrome 73.0.3683.86,delay,2019-04-05 14:50:04,2019-04-05 14:50:06,2.003s,PASSED
mydate = new java.util.Date(),Chrome 73.0.3683.86,Get todays year and date,2019-04-05 14:50:06,2019-04-05 14:50:06,0.007s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/005 Rekod Baru Inden Kerja/select_INDEN KERJA AUTO""))",Chrome 73.0.3683.86,Select inden kerja auto from the drop down list,2019-04-05 14:50:06,2019-04-05 14:50:07,0.131s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/005 Rekod Baru Inden Kerja/Drop_down_Pembekal""))",Chrome 73.0.3683.86,click on drop down nama pembekal,2019-04-05 14:50:07,2019-04-05 14:50:07,0.159s,PASSED
"setText(findTestObject(""Perolehan/002 Penyedia_RekodBaru/005 Rekod Baru Inden Kerja/input_kod_Pembekal""), kod_pembekal)",Chrome 73.0.3683.86,input nama pembekal green miracle enterprise in the filter textbox,2019-04-05 14:50:07,2019-04-05 14:50:07,0.479s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/005 Rekod Baru Inden Kerja/select_nama_pembekal"", [""text"":kod_pembekal]))",Chrome 73.0.3683.86,select nama pembekal from the filter result,2019-04-05 14:50:07,2019-04-05 14:50:07,0.103s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/005 Rekod Baru Inden Kerja/Date_Picker_Sila_Bekalkan""))",Chrome 73.0.3683.86,click on the calendar date picker for sila bekalkan,2019-04-05 14:50:07,2019-04-05 14:50:07,0.144s,PASSED
delay(3),Chrome 73.0.3683.86,delay,2019-04-05 14:50:07,2019-04-05 14:50:10,3.004s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/005 Rekod Baru Inden Kerja/Date_Picker_Next_month""))",Chrome 73.0.3683.86,click next month from the calendar picker,2019-04-05 14:50:10,2019-04-05 14:50:10,0.071s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/005 Rekod Baru Inden Kerja/Date_Picker_Select_date_26th""))",Chrome 73.0.3683.86,select date 26th of the month,2019-04-05 14:50:10,2019-04-05 14:50:11,0.065s,PASSED
"setText(findTestObject(""Perolehan/002 Penyedia_RekodBaru/005 Rekod Baru Inden Kerja/input_no_tanggungan""), ""2"")",Chrome 73.0.3683.86,input no tanggungan,2019-04-05 14:50:11,2019-04-05 14:50:11,0.089s,PASSED
"setText(findTestObject(""Perolehan/002 Penyedia_RekodBaru/005 Rekod Baru Inden Kerja/input_amaun_tanggungan""), ""100"")",Chrome 73.0.3683.86,input amaun tanggungan,2019-04-05 14:50:11,2019-04-05 14:50:11,0.098s,PASSED
"setText(findTestObject(""Perolehan/002 Penyedia_RekodBaru/005 Rekod Baru Inden Kerja/input_ringkasan_kerja""), ""ringkasan kerja untuk inden kerja"")",Chrome 73.0.3683.86,input ringkasan kerja,2019-04-05 14:50:11,2019-04-05 14:50:11,0.226s,PASSED
RN = Math.random() * 100000,Chrome 73.0.3683.86,int RN is created to generete random number,2019-04-05 14:50:11,2019-04-05 14:50:11,0.009s,PASSED
"setText(findTestObject(""Perolehan/002 Penyedia_RekodBaru/005 Rekod Baru Inden Kerja/input_rujukan_fail""), ""IK00"" + RN)",Chrome 73.0.3683.86,input rujukan fail as random number that starts with IK00 + RN number,2019-04-05 14:50:11,2019-04-05 14:50:11,0.148s,PASSED
"IKno_rujukan = ""IK00"" + RN",Chrome 73.0.3683.86,get Input Rujukan fail value,2019-04-05 14:50:11,2019-04-05 14:50:11,0.001s,PASSED
println(IKno_rujukan),Chrome 73.0.3683.86,print the value into console for display,2019-04-05 14:50:11,2019-04-05 14:50:11,0.003s,PASSED
