Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
04 Inden Kerja Cara Bayaran CEK Tiada Pemfaktoran,Chrome 72.0.3626.121,,2019-03-15 14:44:21,2019-03-15 14:48:45,4m - 23.708s,PASSED
,,,,,,
Test Cases/Perolehan/007 Proses Baucar Bayaran/004 Pelulus Baucar Bayaran IK - CEK,Chrome 72.0.3626.121,Pelulus will process the baucar bayaran,2019-03-15 14:44:22,2019-03-15 14:45:54,1m - 32.166s,PASSED
reusablefunctions.reusablefunctions.openbrowser(),Chrome 72.0.3626.121,open browser and enter ispek URL,2019-03-15 14:44:22,2019-03-15 14:44:27,4.584s,PASSED
"reusablefunctions.reusablefunctions.Login(findTestData(""ispekstestdata"").getValue(1, 2), findTestData(""ispekstestdata"").getValue(2, 2))",Chrome 72.0.3626.121,login into the system,2019-03-15 14:44:27,2019-03-15 14:44:39,12.112s,PASSED
reusablefunctions.reusablefunctions.PerananPelulusPTJ(),Chrome 72.0.3626.121,change peranan to Pelulus PTJ,2019-03-15 14:44:39,2019-03-15 14:45:01,22.741s,PASSED
"click(findTestObject(""Perolehan/007 Proses Baucar Bayaran/Menu_Sisi""))",Chrome 72.0.3626.121,click on menu sisi to expand menu selection,2019-03-15 14:45:01,2019-03-15 14:45:02,0.433s,PASSED
delay(3),Chrome 72.0.3626.121,delay,2019-03-15 14:45:02,2019-03-15 14:45:05,3.003s,PASSED
"click(findTestObject(""Object Repository/Perolehan/007 Proses Baucar Bayaran/Menu_Akaun Belum Bayar""))",Chrome 72.0.3626.121,select on sub-menu akaun belum bayar,2019-03-15 14:45:05,2019-03-15 14:45:05,0.068s,PASSED
delay(3),Chrome 72.0.3626.121,delay,2019-03-15 14:45:05,2019-03-15 14:45:08,3.005s,PASSED
"click(findTestObject(""Perolehan/007 Proses Baucar Bayaran/Menu_Expand_Baucar_Bayaran""))",Chrome 72.0.3626.121,expand baucar bayaran sub-menu,2019-03-15 14:45:08,2019-03-15 14:45:08,0.073s,PASSED
delay(3),Chrome 72.0.3626.121,delay,2019-03-15 14:45:08,2019-03-15 14:45:11,3.005s,PASSED
"click(findTestObject(""Perolehan/007 Proses Baucar Bayaran/Menu_Integrasi_Dalaman""))",Chrome 72.0.3626.121,select menu Integrasi dalaman,2019-03-15 14:45:11,2019-03-15 14:45:11,0.147s,PASSED
delay(3),Chrome 72.0.3626.121,delay,2019-03-15 14:45:11,2019-03-15 14:45:14,3.004s,PASSED
"setText(findTestObject(""Perolehan/007 Proses Baucar Bayaran/input_No_Rekod""), ArahanBayaranRekodID)",Chrome 72.0.3626.121,enter baucar bayaran rekod id into the filter field,2019-03-15 14:45:14,2019-03-15 14:45:15,0.455s,PASSED
delay(3),Chrome 72.0.3626.121,delay,2019-03-15 14:45:15,2019-03-15 14:45:18,3.005s,PASSED
"doubleClick(findTestObject(""Perolehan/007 Proses Baucar Bayaran/select_No_Rekod"", [""text"":ArahanBayaranRekodID]))",Chrome 72.0.3626.121,double click on the filter result,2019-03-15 14:45:18,2019-03-15 14:45:18,0.108s,PASSED
delay(3),Chrome 72.0.3626.121,delay,2019-03-15 14:45:18,2019-03-15 14:45:21,3.005s,PASSED
"namapenerima = getText(findTestObject(""Perolehan/007 Proses Baucar Bayaran/001 Pelulus IK/Nama_Penerima - CEK""))",Chrome 72.0.3626.121,get the value of Nama Penerima,2019-03-15 14:45:21,2019-03-15 14:45:21,0.058s,PASSED
delay(3),Chrome 72.0.3626.121,,2019-03-15 14:45:21,2019-03-15 14:45:24,3.003s,PASSED
"verifyMatch(namapenerima, ""JULIA COMPETENCY TRAINING & SERVICES"", false)",Chrome 72.0.3626.121,verify that nama penerima is what is set when filling in dengan pemfaktoran = Ya,2019-03-15 14:45:24,2019-03-15 14:45:24,0.005s,PASSED
"jumlahkeseluruhan = getText(findTestObject(""Perolehan/007 Proses Baucar Bayaran/jumlah_amaun""))",Chrome 72.0.3626.121,get text of amount from the screen,2019-03-15 14:45:24,2019-03-15 14:45:24,0.064s,PASSED
delay(3),Chrome 72.0.3626.121,delay,2019-03-15 14:45:24,2019-03-15 14:45:27,3.002s,PASSED
"verifyMatch(jumlahkeseluruhan, ""6.30"", false)",Chrome 72.0.3626.121,verify that amount is a match,2019-03-15 14:45:27,2019-03-15 14:45:27,0.003s,PASSED
"click(findTestObject(""Perolehan/007 Proses Baucar Bayaran/button_Lulus""))",Chrome 72.0.3626.121,click on button Lulus to approve the record,2019-03-15 14:45:27,2019-03-15 14:45:27,0.227s,PASSED
delay(3),Chrome 72.0.3626.121,delay,2019-03-15 14:45:27,2019-03-15 14:45:30,3.003s,PASSED
"click(findTestObject(""Perolehan/007 Proses Baucar Bayaran/button_Ya_Lulus""))",Chrome 72.0.3626.121,click Ya to confirm approve,2019-03-15 14:45:30,2019-03-15 14:45:30,0.065s,PASSED
