Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
05 Pesanan Tempatan - EFT - Perak,Chrome 73.0.3683.86,,2019-04-04 14:01:24,2019-04-04 14:19:38,18m - 13.373s,PASSED
,,,,,,
Test Cases/Perolehan/002 Rekod Baru oleh Penyedia/007 Penyedia Rekod Baru - EFT,Chrome 73.0.3683.86,this is a test case to create REKOD BARU for Pesanan Tempatan env 7011,2019-04-04 14:01:25,2019-04-04 14:03:39,2m - 14.611s,PASSED
"callTestCase(findTestCase(""Perolehan/001 Left Menu Selection/Select Menu Pesanan Tempatan""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-04 14:01:25,2019-04-04 14:02:16,50.830s,PASSED
delay(5),Chrome 73.0.3683.86,,2019-04-04 14:02:16,2019-04-04 14:02:21,5.004s,PASSED
"waitForElementVisible(findTestObject(""Perolehan/002 Penyedia_RekodBaru/001 Rekod Baru Pesanan Tempatan/button_REKODBARU""), 180)",Chrome 73.0.3683.86,,2019-04-04 14:02:21,2019-04-04 14:02:21,0.124s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/001 Rekod Baru Pesanan Tempatan/button_REKODBARU""))",Chrome 73.0.3683.86,Click on Rekod Baru to create new record,2019-04-04 14:02:21,2019-04-04 14:02:21,0.075s,PASSED
delay(3),Chrome 73.0.3683.86,Delay,2019-04-04 14:02:21,2019-04-04 14:02:24,3.002s,PASSED
mydate = new java.util.Date(),Chrome 73.0.3683.86,Get todays year and date,2019-04-04 14:02:24,2019-04-04 14:02:24,0.005s,PASSED
"formattedDate = mydate.format(""dd/MM/yyyy"")",Chrome 73.0.3683.86,Get todays date with format dd/MM/yyyy,2019-04-04 14:02:24,2019-04-04 14:02:24,0.003s,PASSED
"formattedYear = mydate.format(""yyyy"")",Chrome 73.0.3683.86,Get year with format yyyy,2019-04-04 14:02:24,2019-04-04 14:02:24,0.000s,PASSED
println(formattedDate),Chrome 73.0.3683.86,print date in dd/mm/yyyy format,2019-04-04 14:02:24,2019-04-04 14:02:24,0.004s,PASSED
println(formattedYear),Chrome 73.0.3683.86,print year in yyyy format,2019-04-04 14:02:24,2019-04-04 14:02:24,0.001s,PASSED
"tarikh_perakaunan = ""Tarikh Perakaunan : "" + formattedDate",Chrome 73.0.3683.86,Tarikh Perakaunan,2019-04-04 14:02:24,2019-04-04 14:02:24,0.000s,PASSED
println(tarikh_perakaunan),Chrome 73.0.3683.86,print tarikh perakaunan,2019-04-04 14:02:24,2019-04-04 14:02:24,0.000s,PASSED
"TahunKewangan = getText(findTestObject(""Perolehan/002 Penyedia_RekodBaru/001 Rekod Baru Pesanan Tempatan/span_tahun_kewangan""))",Chrome 73.0.3683.86,Get the year of Tahun Kewangan from the top section of the page,2019-04-04 14:02:24,2019-04-04 14:02:24,0.066s,PASSED
"verifyMatch(TahunKewangan, formattedYear, false)",Chrome 73.0.3683.86,Verify the year is a match,2019-04-04 14:02:24,2019-04-04 14:02:24,0.008s,PASSED
"TarikhSemasa = getText(findTestObject(""Perolehan/002 Penyedia_RekodBaru/001 Rekod Baru Pesanan Tempatan/span_tarikhSemasa""))",Chrome 73.0.3683.86,Get the date of Tarikh Semasa,2019-04-04 14:02:24,2019-04-04 14:02:24,0.045s,PASSED
"verifyMatch(formattedDate, TarikhSemasa, false)",Chrome 73.0.3683.86,Verify the date is a match,2019-04-04 14:02:24,2019-04-04 14:02:24,0.003s,PASSED
"TarikhPerakaunan = getText(findTestObject(""Perolehan/002 Penyedia_RekodBaru/001 Rekod Baru Pesanan Tempatan/tarikh_perakaunan""))",Chrome 73.0.3683.86,Get the date of Tarikh Perakaunan,2019-04-04 14:02:24,2019-04-04 14:02:24,0.050s,PASSED
"verifyMatch(tarikh_perakaunan, TarikhPerakaunan, false)",Chrome 73.0.3683.86,Verify the date is a match,2019-04-04 14:02:24,2019-04-04 14:02:24,0.001s,PASSED
"verifyElementVisible(findTestObject(""Perolehan/002 Penyedia_RekodBaru/001 Rekod Baru Pesanan Tempatan/label_Jenis Urusniaga""))",Chrome 73.0.3683.86,Verify Jenis Urusniaga is visible,2019-04-04 14:02:24,2019-04-04 14:02:24,0.044s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/001 Rekod Baru Pesanan Tempatan/a_Jenis Urusniaga _textbox-ico""))",Chrome 73.0.3683.86,"Select from dropdown list of Jenis Urusniaga
",2019-04-04 14:02:24,2019-04-04 14:02:25,0.096s,PASSED
delay(2),Chrome 73.0.3683.86,Delay,2019-04-04 14:02:25,2019-04-04 14:02:27,2.003s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/001 Rekod Baru Pesanan Tempatan/div_Pesanan_Tempatan_Auto""))",Chrome 73.0.3683.86,select PESANAN TEMPATAN AUTO,2019-04-04 14:02:27,2019-04-04 14:02:27,0.091s,PASSED
"verifyElementPresent(findTestObject(""Perolehan/002 Penyedia_RekodBaru/001 Rekod Baru Pesanan Tempatan/label_No. Dokumen""), 0)",Chrome 73.0.3683.86,verify No.Dokumen label is present,2019-04-04 14:02:27,2019-04-04 14:02:27,0.032s,PASSED
"verifyElementPresent(findTestObject(""Perolehan/002 Penyedia_RekodBaru/001 Rekod Baru Pesanan Tempatan/label_Tarikh Dokumen""), 0)",Chrome 73.0.3683.86,verify Tarikh Dokumen label is present,2019-04-04 14:02:27,2019-04-04 14:02:27,0.020s,PASSED
"verifyElementPresent(findTestObject(""Perolehan/002 Penyedia_RekodBaru/001 Rekod Baru Pesanan Tempatan/label_Pembekal""), 0)",Chrome 73.0.3683.86,verify Pembekal label is present,2019-04-04 14:02:27,2019-04-04 14:02:27,0.022s,PASSED
"verifyElementPresent(findTestObject(""Perolehan/002 Penyedia_RekodBaru/001 Rekod Baru Pesanan Tempatan/label_Cawangan Pembekal""), 0)",Chrome 73.0.3683.86,verify Cawangan Pembekal label is present,2019-04-04 14:02:27,2019-04-04 14:02:27,0.021s,PASSED
"verifyElementPresent(findTestObject(""Perolehan/002 Penyedia_RekodBaru/001 Rekod Baru Pesanan Tempatan/label_Sila Bekalkan Sebelum at""), 0)",Chrome 73.0.3683.86,verify Sila Bekalkan Sebelum atau pada label is present,2019-04-04 14:02:27,2019-04-04 14:02:27,0.028s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/001 Rekod Baru Pesanan Tempatan/a_Pembekal _textbox-icon combo""))",Chrome 73.0.3683.86,Click to select Pembekal drop-down,2019-04-04 14:02:27,2019-04-04 14:02:27,0.111s,PASSED
"setText(findTestObject(""Perolehan/002 Penyedia_RekodBaru/007 Rekod Baru Pesanan Tempatan/input_kod_pembekal""), kod_pembekal)",Chrome 73.0.3683.86,filter for kod pembekal,2019-04-04 14:02:27,2019-04-04 14:02:27,0.494s,PASSED
delay(3),Chrome 73.0.3683.86,,2019-04-04 14:02:27,2019-04-04 14:02:30,3.002s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/001 Rekod Baru Pesanan Tempatan/Select_Pembekal"", [""text"":kod_pembekal]))",Chrome 73.0.3683.86,Select Pembekal from the list,2019-04-04 14:02:30,2019-04-04 14:02:30,0.096s,PASSED
delay(5),Chrome 73.0.3683.86,delay,2019-04-04 14:02:30,2019-04-04 14:02:35,5.003s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/001 Rekod Baru Pesanan Tempatan/Date_Picker_Bekal_Kerja""))",Chrome 73.0.3683.86,Select date picker,2019-04-04 14:02:35,2019-04-04 14:02:36,0.092s,PASSED
delay(1),Chrome 73.0.3683.86,Delay,2019-04-04 14:02:36,2019-04-04 14:02:37,1.003s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/001 Rekod Baru Pesanan Tempatan/Date_Picker_Bekal_Kerja_Next_Month""))",Chrome 73.0.3683.86,Select for next month from date picker,2019-04-04 14:02:37,2019-04-04 14:02:37,0.068s,PASSED
delay(1),Chrome 73.0.3683.86,Delay,2019-04-04 14:02:37,2019-04-04 14:02:38,1.003s,PASSED
