Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
05 Pesanan Tempatan - Perak,Chrome 73.0.3683.86,,2019-04-04 11:09:26,2019-04-04 11:25:06,15m - 39.457s,PASSED
,,,,,,
Test Cases/Perolehan/001 Left Menu Selection/Select Menu Pesanan Tempatan,Chrome 73.0.3683.86,Select Perolehan and then select Pesanan Tempatan,2019-04-04 11:09:27,2019-04-04 11:10:11,44.277s,PASSED
"openBrowser("""")",Chrome 73.0.3683.86,open browser,2019-04-04 11:09:27,2019-04-04 11:09:30,3.325s,PASSED
navigateToUrl(URL_Homepage),Chrome 73.0.3683.86,input ispek URL,2019-04-04 11:09:30,2019-04-04 11:09:32,1.432s,PASSED
"setText(findTestObject(""Login/input_NoKadPengenalan""), PenyediaPTJ)",Chrome 73.0.3683.86,Input User Name,2019-04-04 11:09:32,2019-04-04 11:09:32,0.144s,PASSED
"setEncryptedText(findTestObject(""Login/input_Password""), findTestData(""ispekstestdata"").getValue(2, 4))",Chrome 73.0.3683.86,Input Password,2019-04-04 11:09:32,2019-04-04 11:09:32,0.143s,PASSED
"click(findTestObject(""Login/input_ButtonLogMasuk""))",Chrome 73.0.3683.86,Click on Log Masuk button,2019-04-04 11:09:32,2019-04-04 11:09:33,1.204s,PASSED
delay(5),Chrome 73.0.3683.86,Delay,2019-04-04 11:09:33,2019-04-04 11:09:38,5.018s,PASSED
"click(findTestObject(""Perolehan/TukarPeranan/IconTukarPeranan""))",Chrome 73.0.3683.86,Click on icon Tukar Peranan,2019-04-04 11:09:38,2019-04-04 11:09:38,0.068s,PASSED
"click(findTestObject(""Perolehan/TukarPeranan/input_TukarPeranan"", [""value"":RBPenyediaPTJ]))",Chrome 73.0.3683.86,Click Radio Button Penyedia PTJ,2019-04-04 11:09:38,2019-04-04 11:09:38,0.101s,PASSED
"click(findTestObject(""Perolehan/TukarPeranan/button_Ya""))",Chrome 73.0.3683.86,Click Ya to confirm change of role,2019-04-04 11:09:38,2019-04-04 11:09:39,0.065s,PASSED
delay(20),Chrome 73.0.3683.86,,2019-04-04 11:09:39,2019-04-04 11:09:59,20.005s,PASSED
"verifyTextPresent(""Peranan : [Penyedia] Peringkat : [PTJ]"", false)",Chrome 73.0.3683.86,Verify Peranan is now Penyedia PTJ,2019-04-04 11:09:59,2019-04-04 11:10:01,2.577s,PASSED
"click(findTestObject(""Perolehan/001 Left_Menu_Selection/a_ExpandMenuonLeft""))",Chrome 73.0.3683.86,Click on Menu Sisi to display Menu selections,2019-04-04 11:10:01,2019-04-04 11:10:02,0.450s,PASSED
"delay(3, STOP_ON_FAILURE)",Chrome 73.0.3683.86,Delay,2019-04-04 11:10:02,2019-04-04 11:10:05,3.010s,PASSED
"click(findTestObject(""Perolehan/001 Left_Menu_Selection/div_PanelTitlePerolehan""))",Chrome 73.0.3683.86,Select Perolehan Sub-menu,2019-04-04 11:10:05,2019-04-04 11:10:05,0.078s,PASSED
"delay(3, STOP_ON_FAILURE)",Chrome 73.0.3683.86,Delay,2019-04-04 11:10:05,2019-04-04 11:10:08,3.004s,PASSED
"click(findTestObject(""Perolehan/001 Left_Menu_Selection/div_PesananTempatan""))",Chrome 73.0.3683.86,Click on Menu sisi,2019-04-04 11:10:08,2019-04-04 11:10:08,0.145s,PASSED
delay(3),Chrome 73.0.3683.86,Pesanan Tempatan page loaded successfully,2019-04-04 11:10:08,2019-04-04 11:10:11,3.004s,PASSED
,,,,,,
Test Cases/Perolehan/002 Rekod Baru oleh Penyedia/007 Penyedia Rekod Baru - EFT,Chrome 73.0.3683.86,this is a test case to create REKOD BARU for Pesanan Tempatan env 7011,2019-04-04 11:10:11,2019-04-04 11:12:22,2m - 11.391s,PASSED
"callTestCase(findTestCase(""Perolehan/001 Left Menu Selection/Select Menu Pesanan Tempatan""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-04 11:10:11,2019-04-04 11:10:59,47.789s,PASSED
delay(5),Chrome 73.0.3683.86,,2019-04-04 11:10:59,2019-04-04 11:11:04,5.002s,PASSED
"waitForElementVisible(findTestObject(""Perolehan/002 Penyedia_RekodBaru/001 Rekod Baru Pesanan Tempatan/button_REKODBARU""), 180)",Chrome 73.0.3683.86,,2019-04-04 11:11:04,2019-04-04 11:11:04,0.060s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/001 Rekod Baru Pesanan Tempatan/button_REKODBARU""))",Chrome 73.0.3683.86,Click on Rekod Baru to create new record,2019-04-04 11:11:04,2019-04-04 11:11:04,0.069s,PASSED
delay(3),Chrome 73.0.3683.86,Delay,2019-04-04 11:11:04,2019-04-04 11:11:07,3.004s,PASSED
mydate = new java.util.Date(),Chrome 73.0.3683.86,Get todays year and date,2019-04-04 11:11:07,2019-04-04 11:11:07,0.005s,PASSED
"formattedDate = mydate.format(""dd/MM/yyyy"")",Chrome 73.0.3683.86,Get todays date with format dd/MM/yyyy,2019-04-04 11:11:07,2019-04-04 11:11:07,0.006s,PASSED
"formattedYear = mydate.format(""yyyy"")",Chrome 73.0.3683.86,Get year with format yyyy,2019-04-04 11:11:07,2019-04-04 11:11:07,0.000s,PASSED
println(formattedDate),Chrome 73.0.3683.86,print date in dd/mm/yyyy format,2019-04-04 11:11:07,2019-04-04 11:11:07,0.003s,PASSED
println(formattedYear),Chrome 73.0.3683.86,print year in yyyy format,2019-04-04 11:11:07,2019-04-04 11:11:07,0.001s,PASSED
"tarikh_perakaunan = ""Tarikh Perakaunan : "" + formattedDate",Chrome 73.0.3683.86,Tarikh Perakaunan,2019-04-04 11:11:07,2019-04-04 11:11:07,0.000s,PASSED
println(tarikh_perakaunan),Chrome 73.0.3683.86,print tarikh perakaunan,2019-04-04 11:11:07,2019-04-04 11:11:07,0.000s,PASSED
