Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
06 Pesanan Tempatan - CEK - Perak,Chrome 73.0.3683.103,,2019-04-09 12:45:25,2019-04-09 13:01:00,15m - 35.423s,PASSED
,,,,,,
Test Cases/Perolehan/002 Rekod Baru oleh Penyedia/008 Penyedia Rekod Baru - CEK,Chrome 73.0.3683.103,this is a test case to create REKOD BARU for Pesanan Tempatan for 7011 env,2019-04-09 12:45:25,2019-04-09 12:47:38,2m - 13.514s,PASSED
"callTestCase(findTestCase(""Perolehan/001 Left Menu Selection/Select Menu Pesanan Tempatan""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.103,,2019-04-09 12:45:25,2019-04-09 12:46:10,44.188s,PASSED
delay(5),Chrome 73.0.3683.103,,2019-04-09 12:46:10,2019-04-09 12:46:15,5.003s,PASSED
"waitForElementVisible(findTestObject(""Perolehan/002 Penyedia_RekodBaru/001 Rekod Baru Pesanan Tempatan/button_REKODBARU""), 0)",Chrome 73.0.3683.103,,2019-04-09 12:46:15,2019-04-09 12:46:15,0.124s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/001 Rekod Baru Pesanan Tempatan/button_REKODBARU""))",Chrome 73.0.3683.103,Click on Rekod Baru to create new record,2019-04-09 12:46:15,2019-04-09 12:46:15,0.066s,PASSED
delay(3),Chrome 73.0.3683.103,Delay,2019-04-09 12:46:15,2019-04-09 12:46:18,3.001s,PASSED
mydate = new java.util.Date(),Chrome 73.0.3683.103,Get todays year and date,2019-04-09 12:46:18,2019-04-09 12:46:18,0.005s,PASSED
"formattedDate = mydate.format(""dd/MM/yyyy"")",Chrome 73.0.3683.103,Get todays date with format dd/MM/yyyy,2019-04-09 12:46:18,2019-04-09 12:46:18,0.002s,PASSED
"formattedYear = mydate.format(""yyyy"")",Chrome 73.0.3683.103,Get year with format yyyy,2019-04-09 12:46:18,2019-04-09 12:46:18,0.001s,PASSED
