Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
07 Inden Kerja - EFT - Perak,Chrome 73.0.3683.103,,2019-04-09 10:57:17,2019-04-09 11:11:11,13m - 54.564s,FAILED
,,,,,,
Test Cases/Perolehan/002 Rekod Baru oleh Penyedia/009 Inden Kerja - EFT,Chrome 73.0.3683.103,this is a test case to create REKOD BARU for Inden Kerja for 7011 env,2019-04-09 10:57:17,2019-04-09 10:58:48,1m - 31.296s,PASSED
"callTestCase(findTestCase(""Perolehan/001 Left Menu Selection/Select Menu Pesanan Tempatan""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.103,Call test to open menu sisi and then select pesanan tempatan / inden kerja,2019-04-09 10:57:18,2019-04-09 10:58:02,44.389s,PASSED
"rekodbaru = findWebElement(findTestObject(""Perolehan/002 Penyedia_RekodBaru/005 Rekod Baru Inden Kerja/button_Rekod_Baru""), 300)",Chrome 73.0.3683.103,declare object to find as an element,2019-04-09 10:58:02,2019-04-09 10:58:02,0.049s,PASSED
"executeJavaScript(""arguments[0].click"", Arrays.asList(rekodbaru))",Chrome 73.0.3683.103,click on the element using javascript,2019-04-09 10:58:02,2019-04-09 10:58:02,0.209s,PASSED
delay(5),Chrome 73.0.3683.103,,2019-04-09 10:58:02,2019-04-09 10:58:07,5.005s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/005 Rekod Baru Inden Kerja/button_Rekod_Baru""))",Chrome 73.0.3683.103,Click Rekod Baru button,2019-04-09 10:58:07,2019-04-09 10:58:07,0.068s,PASSED
delay(3),Chrome 73.0.3683.103,delay,2019-04-09 10:58:07,2019-04-09 10:58:10,3.005s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/005 Rekod Baru Inden Kerja/Drop_down_Jenis_Urusniaga""))",Chrome 73.0.3683.103,Click on drop down Jenis Urusniaga,2019-04-09 10:58:10,2019-04-09 10:58:11,0.111s,PASSED
delay(2),Chrome 73.0.3683.103,delay,2019-04-09 10:58:11,2019-04-09 10:58:13,2.004s,PASSED
mydate = new java.util.Date(),Chrome 73.0.3683.103,Get todays year and date,2019-04-09 10:58:13,2019-04-09 10:58:13,0.011s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/005 Rekod Baru Inden Kerja/select_INDEN KERJA AUTO""))",Chrome 73.0.3683.103,Select inden kerja auto from the drop down list,2019-04-09 10:58:13,2019-04-09 10:58:13,0.101s,PASSED
