Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
08 Inden Kerja - CEK - Perak,Chrome 73.0.3683.103,,2019-04-09 11:39:30,2019-04-09 11:53:30,14m - 0.182s,FAILED
,,,,,,
Test Cases/Perolehan/002 Rekod Baru oleh Penyedia/010 Inden Kerja - CEK,Chrome 73.0.3683.103,this is a test case to create REKOD BARU for Inden Kerja for 7011 env,2019-04-09 11:39:30,2019-04-09 11:41:14,1m - 44.099s,PASSED
"callTestCase(findTestCase(""Perolehan/001 Left Menu Selection/Select Menu Pesanan Tempatan""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.103,Call test to open menu sisi and then select pesanan tempatan / inden kerja,2019-04-09 11:39:31,2019-04-09 11:40:16,45.109s,PASSED
delay(8),Chrome 73.0.3683.103,,2019-04-09 11:40:16,2019-04-09 11:40:24,8.002s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/005 Rekod Baru Inden Kerja/button_Rekod_Baru""))",Chrome 73.0.3683.103,Click Rekod Baru button,2019-04-09 11:40:24,2019-04-09 11:40:24,0.091s,PASSED
delay(3),Chrome 73.0.3683.103,delay,2019-04-09 11:40:24,2019-04-09 11:40:27,3.002s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/005 Rekod Baru Inden Kerja/Drop_down_Jenis_Urusniaga""))",Chrome 73.0.3683.103,Click on drop down Jenis Urusniaga,2019-04-09 11:40:27,2019-04-09 11:40:27,0.096s,PASSED
delay(2),Chrome 73.0.3683.103,delay,2019-04-09 11:40:27,2019-04-09 11:40:29,2.005s,PASSED
mydate = new java.util.Date(),Chrome 73.0.3683.103,Get todays year and date,2019-04-09 11:40:29,2019-04-09 11:40:29,0.006s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/005 Rekod Baru Inden Kerja/select_INDEN KERJA AUTO""))",Chrome 73.0.3683.103,Select inden kerja auto from the drop down list,2019-04-09 11:40:29,2019-04-09 11:40:29,0.242s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/005 Rekod Baru Inden Kerja/Drop_down_Pembekal""))",Chrome 73.0.3683.103,click on drop down nama pembekal,2019-04-09 11:40:29,2019-04-09 11:40:30,0.104s,PASSED
"setText(findTestObject(""Perolehan/002 Penyedia_RekodBaru/007 Rekod Baru Pesanan Tempatan/input_kod_pembekal""), kod_pembekal_cek)",Chrome 73.0.3683.103,input nama pembekal julia competency training in the filter textbox,2019-04-09 11:40:30,2019-04-09 11:40:30,0.492s,PASSED
delay(0),Chrome 73.0.3683.103,,2019-04-09 11:40:30,2019-04-09 11:40:30,0.002s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/001 Rekod Baru Pesanan Tempatan/Select_Pembekal"", [""text"":kod_pembekal_cek]))",Chrome 73.0.3683.103,select nama pembekal from the filter result,2019-04-09 11:40:30,2019-04-09 11:40:31,1.134s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/005 Rekod Baru Inden Kerja/Date_Picker_Sila_Bekalkan""))",Chrome 73.0.3683.103,click on the calendar date picker for sila bekalkan,2019-04-09 11:40:31,2019-04-09 11:40:31,0.099s,PASSED
delay(3),Chrome 73.0.3683.103,delay,2019-04-09 11:40:31,2019-04-09 11:40:34,3.002s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/005 Rekod Baru Inden Kerja/Date_Picker_Next_month""))",Chrome 73.0.3683.103,click next month from the calendar picker,2019-04-09 11:40:34,2019-04-09 11:40:34,0.069s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/005 Rekod Baru Inden Kerja/Date_Picker_Select_date_26th""))",Chrome 73.0.3683.103,select date 26th of the month,2019-04-09 11:40:34,2019-04-09 11:40:34,0.066s,PASSED
"setText(findTestObject(""Perolehan/002 Penyedia_RekodBaru/005 Rekod Baru Inden Kerja/input_no_tanggungan""), ""1"")",Chrome 73.0.3683.103,input no tanggungan,2019-04-09 11:40:34,2019-04-09 11:40:34,0.090s,PASSED
"setText(findTestObject(""Perolehan/002 Penyedia_RekodBaru/005 Rekod Baru Inden Kerja/input_amaun_tanggungan""), ""100"")",Chrome 73.0.3683.103,input amaun tanggungan,2019-04-09 11:40:34,2019-04-09 11:40:35,0.096s,PASSED
"setText(findTestObject(""Perolehan/002 Penyedia_RekodBaru/005 Rekod Baru Inden Kerja/input_ringkasan_kerja""), ""ringkasan kerja untuk inden kerja"")",Chrome 73.0.3683.103,input ringkasan kerja,2019-04-09 11:40:35,2019-04-09 11:40:35,0.238s,PASSED
RN = Math.random() * 100000,Chrome 73.0.3683.103,int RN is created to generete random number,2019-04-09 11:40:35,2019-04-09 11:40:35,0.011s,PASSED
"setText(findTestObject(""Perolehan/002 Penyedia_RekodBaru/005 Rekod Baru Inden Kerja/input_rujukan_fail""), ""IK000"" + RN)",Chrome 73.0.3683.103,input rujukan fail as random number that starts with IK00 + RN number,2019-04-09 11:40:35,2019-04-09 11:40:35,0.135s,PASSED
"IKno_rujukan = ""IK00"" + RN",Chrome 73.0.3683.103,get Input Rujukan fail value,2019-04-09 11:40:35,2019-04-09 11:40:35,0.001s,PASSED
println(IKno_rujukan),Chrome 73.0.3683.103,print the value into console for display,2019-04-09 11:40:35,2019-04-09 11:40:35,0.002s,PASSED
"setText(findTestObject(""Perolehan/002 Penyedia_RekodBaru/005 Rekod Baru Inden Kerja/input_kerja_terperinci""), ""kerja terperinci "" + mydate)",Chrome 73.0.3683.103,input kerja terperinci with current date and time stamp,2019-04-09 11:40:35,2019-04-09 11:40:35,0.182s,PASSED
"setText(findTestObject(""Perolehan/002 Penyedia_RekodBaru/005 Rekod Baru Inden Kerja/input_Perihal""), ""test here "" + mydate)",Chrome 73.0.3683.103,input perihal test with current date and time stamp,2019-04-09 11:40:35,2019-04-09 11:40:35,0.159s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/005 Rekod Baru Inden Kerja/tambah_maklumat_terperinci""))",Chrome 73.0.3683.103,Click on button add to add maklumat terperinci details,2019-04-09 11:40:35,2019-04-09 11:40:35,0.117s,PASSED
delay(3),Chrome 73.0.3683.103,delay,2019-04-09 11:40:35,2019-04-09 11:40:38,3.003s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/001 Rekod Baru Pesanan Tempatan/Drop_down_Vot_Dana""))",Chrome 73.0.3683.103,Click Vot Dana drop down to select a value,2019-04-09 11:40:38,2019-04-09 11:40:39,0.231s,PASSED
delay(3),Chrome 73.0.3683.103,delay,2019-04-09 11:40:39,2019-04-09 11:40:42,3.004s,PASSED
"setText(findTestObject(""Perolehan/002 Penyedia_RekodBaru/007 Rekod Baru Pesanan Tempatan/Input_Vot_Dana""), Vot_dana)",Chrome 73.0.3683.103,set value Vot Dana B31 into the filter for KOD,2019-04-09 11:40:42,2019-04-09 11:40:42,0.202s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/001 Rekod Baru Pesanan Tempatan/Select_Vot_Dana"", [""text"":Vot_dana]))",Chrome 73.0.3683.103,Select Vot Dana B31,2019-04-09 11:40:42,2019-04-09 11:40:42,0.099s,PASSED
delay(3),Chrome 73.0.3683.103,,2019-04-09 11:40:42,2019-04-09 11:40:45,3.003s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/001 Rekod Baru Pesanan Tempatan/Drop_down_Program_Aktiviti""))",Chrome 73.0.3683.103,Click Program Aktiviti drop down to select a value,2019-04-09 11:40:45,2019-04-09 11:40:45,0.110s,PASSED
"setText(findTestObject(""Perolehan/002 Penyedia_RekodBaru/007 Rekod Baru Pesanan Tempatan/input_Kod_Program_Aktiviti""), kod_program_aktiviti)",Chrome 73.0.3683.103,,2019-04-09 11:40:45,2019-04-09 11:40:45,0.279s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/001 Rekod Baru Pesanan Tempatan/Select_Program"", [""text"":kod_program_aktiviti]))",Chrome 73.0.3683.103,Select Program Aktiviti 010080,2019-04-09 11:40:45,2019-04-09 11:40:45,0.119s,PASSED
delay(3),Chrome 73.0.3683.103,,2019-04-09 11:40:45,2019-04-09 11:40:48,3.004s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/001 Rekod Baru Pesanan Tempatan/Drop_down_Kod_Akaun""))",Chrome 73.0.3683.103,Click Kod Akaun drop down to select a value,2019-04-09 11:40:48,2019-04-09 11:40:49,0.112s,PASSED
delay(3),Chrome 73.0.3683.103,Delay,2019-04-09 11:40:49,2019-04-09 11:40:52,3.004s,PASSED
