Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Inden Kerja Cara Bayaran EFT,Chrome 72.0.3626.121,,2019-03-12 10:11:21,2019-03-12 10:17:11,5m - 50.761s,PASSED
,,,,,,
Test Cases/Perolehan/002 Rekod Baru oleh Penyedia/005 Inden Kerja - EFT,Chrome 72.0.3626.121,,2019-03-12 10:11:21,2019-03-12 10:13:03,1m - 41.708s,PASSED
"callTestCase(findTestCase(""Perolehan/001 Left Menu Selection/Select Menu Pesanan Tempatan""), [:], STOP_ON_FAILURE)",Chrome 72.0.3626.121,,2019-03-12 10:11:21,2019-03-12 10:12:19,57.855s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/005 Rekod Baru Inden Kerja/button_Rekod_Baru""))",Chrome 72.0.3626.121,Click Rekod Baru button,2019-03-12 10:12:19,2019-03-12 10:12:19,0.093s,PASSED
delay(3),Chrome 72.0.3626.121,,2019-03-12 10:12:19,2019-03-12 10:12:22,3.003s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/005 Rekod Baru Inden Kerja/Drop_down_Jenis_Urusniaga""))",Chrome 72.0.3626.121,Click Rekod Baru button,2019-03-12 10:12:22,2019-03-12 10:12:22,0.097s,PASSED
delay(2),Chrome 72.0.3626.121,,2019-03-12 10:12:22,2019-03-12 10:12:24,2.005s,PASSED
mydate = new java.util.Date(),Chrome 72.0.3626.121,Get todays year and date,2019-03-12 10:12:24,2019-03-12 10:12:24,0.010s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/005 Rekod Baru Inden Kerja/select_INDEN KERJA AUTO""))",Chrome 72.0.3626.121,Click Rekod Baru button,2019-03-12 10:12:24,2019-03-12 10:12:25,0.095s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/005 Rekod Baru Inden Kerja/Drop_down_Pembekal""))",Chrome 72.0.3626.121,Click Rekod Baru button,2019-03-12 10:12:25,2019-03-12 10:12:25,0.119s,PASSED
"setText(findTestObject(""Perolehan/002 Penyedia_RekodBaru/005 Rekod Baru Inden Kerja/input_nama_Pembekal""), ""GREEN MIRACLE ENTERPRISE"")",Chrome 72.0.3626.121,Click Rekod Baru button,2019-03-12 10:12:25,2019-03-12 10:12:25,0.784s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/005 Rekod Baru Inden Kerja/select_Kod_Pembekal_Green_Miracle""))",Chrome 72.0.3626.121,Click Rekod Baru button,2019-03-12 10:12:25,2019-03-12 10:12:26,0.082s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/005 Rekod Baru Inden Kerja/Date_Picker_Sila_Bekalkan""))",Chrome 72.0.3626.121,Click Rekod Baru button,2019-03-12 10:12:26,2019-03-12 10:12:26,0.110s,PASSED
delay(3),Chrome 72.0.3626.121,,2019-03-12 10:12:26,2019-03-12 10:12:29,3.004s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/005 Rekod Baru Inden Kerja/Date_Picker_Next_month""))",Chrome 72.0.3626.121,Click Rekod Baru button,2019-03-12 10:12:29,2019-03-12 10:12:29,0.065s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/005 Rekod Baru Inden Kerja/Date_Picker_Select_date_26th""))",Chrome 72.0.3626.121,Click Rekod Baru button,2019-03-12 10:12:29,2019-03-12 10:12:29,0.073s,PASSED
"setText(findTestObject(""Perolehan/002 Penyedia_RekodBaru/005 Rekod Baru Inden Kerja/input_no_tanggungan""), ""2"")",Chrome 72.0.3626.121,Click Rekod Baru button,2019-03-12 10:12:29,2019-03-12 10:12:29,0.092s,PASSED
"setText(findTestObject(""Perolehan/002 Penyedia_RekodBaru/005 Rekod Baru Inden Kerja/input_amaun_tanggungan""), ""2"")",Chrome 72.0.3626.121,Click Rekod Baru button,2019-03-12 10:12:29,2019-03-12 10:12:29,0.105s,PASSED
"setText(findTestObject(""Perolehan/002 Penyedia_RekodBaru/005 Rekod Baru Inden Kerja/input_ringkasan_kerja""), ""ringkasan kerja untuk inden kerja"")",Chrome 72.0.3626.121,Click Rekod Baru button,2019-03-12 10:12:29,2019-03-12 10:12:29,0.245s,PASSED
RN = Math.random() * 100000,Chrome 72.0.3626.121,int RN is created to generete random number,2019-03-12 10:12:29,2019-03-12 10:12:29,0.013s,PASSED
"setText(findTestObject(""Perolehan/002 Penyedia_RekodBaru/005 Rekod Baru Inden Kerja/input_rujukan_fail""), ""IK00"" + RN)",Chrome 72.0.3626.121,Click Rekod Baru button,2019-03-12 10:12:29,2019-03-12 10:12:29,0.134s,PASSED
"IKno_rujukan = getText(findTestObject(""Perolehan/002 Penyedia_RekodBaru/005 Rekod Baru Inden Kerja/input_rujukan_fail""))",Chrome 72.0.3626.121,get Input Rujukan fail value,2019-03-12 10:12:29,2019-03-12 10:12:30,0.162s,PASSED
println(IKno_rujukan),Chrome 72.0.3626.121,,2019-03-12 10:12:30,2019-03-12 10:12:30,0.002s,PASSED
"setText(findTestObject(""Perolehan/002 Penyedia_RekodBaru/005 Rekod Baru Inden Kerja/input_kerja_terperinci""), ""kerja terperinci "" + mydate)",Chrome 72.0.3626.121,Click Rekod Baru button,2019-03-12 10:12:30,2019-03-12 10:12:30,0.165s,PASSED
"setText(findTestObject(""Perolehan/002 Penyedia_RekodBaru/005 Rekod Baru Inden Kerja/input_Perihal""), ""test here "" + mydate)",Chrome 72.0.3626.121,Click Rekod Baru button,2019-03-12 10:12:30,2019-03-12 10:12:30,0.151s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/005 Rekod Baru Inden Kerja/tambah_maklumat_terperinci""))",Chrome 72.0.3626.121,Click Rekod Baru button,2019-03-12 10:12:30,2019-03-12 10:12:30,0.120s,PASSED
delay(3),Chrome 72.0.3626.121,,2019-03-12 10:12:30,2019-03-12 10:12:33,3.005s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/005 Rekod Baru Inden Kerja/Drop_down_Vot_Dana""))",Chrome 72.0.3626.121,Click Rekod Baru button,2019-03-12 10:12:33,2019-03-12 10:12:33,0.222s,PASSED
delay(8),Chrome 72.0.3626.121,,2019-03-12 10:12:33,2019-03-12 10:12:41,8.005s,PASSED
"setText(findTestObject(""Perolehan/002 Penyedia_RekodBaru/005 Rekod Baru Inden Kerja/input_Vot_kod""), ""B31"")",Chrome 72.0.3626.121,Click Rekod Baru button,2019-03-12 10:12:41,2019-03-12 10:12:41,0.190s,PASSED
