Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Perolehan,Chrome 71.0.3578.98,Perolehan scenario,2019-02-15 15:59:54,2019-02-15 16:08:05,8m - 11.039s,FAILED
,,,,,,
Test Cases/Perolehan/001 Left Menu Selection/Select Menu Pesanan Tempatan,Chrome 71.0.3578.98,Select Perolehan and then select Pesanan Tempatan,2019-02-15 15:59:54,2019-02-15 16:01:15,1m - 20.542s,PASSED
"openBrowser(""https://175.143.52.101:7011/1SPEKSv2/"")",Chrome 71.0.3578.98,Open browser and input homepage URL ,2019-02-15 15:59:55,2019-02-15 16:00:00,5.559s,PASSED
"setText(findTestObject(""Login/input_NoKadPengenalan""), findTestData(""ispekstestdata"").getValue(1, 2))",Chrome 71.0.3578.98,Input User Name,2019-02-15 16:00:00,2019-02-15 16:00:01,1.036s,PASSED
"setEncryptedText(findTestObject(""Login/input_Password""), findTestData(""ispekstestdata"").getValue(2, 2))",Chrome 71.0.3578.98,Input Password,2019-02-15 16:00:01,2019-02-15 16:00:02,0.214s,PASSED
"click(findTestObject(""Login/input_ButtonLogMasuk""))",Chrome 71.0.3578.98,Click on Log Masuk button,2019-02-15 16:00:02,2019-02-15 16:00:04,1.925s,PASSED
delay(10),Chrome 71.0.3578.98,Delay,2019-02-15 16:00:04,2019-02-15 16:00:14,10.030s,PASSED
reusablefunctions.reusablefunctions.PerananPenyediaPTJ(),Chrome 71.0.3578.98,Change role to Penyedia PTJ,2019-02-15 16:00:14,2019-02-15 16:00:48,34.113s,PASSED
"click(findTestObject(""Perolehan/Left_Menu_Selection/a_ExpandMenuonLeft""))",Chrome 71.0.3578.98,Click on Menu Sisi to display Menu selections,2019-02-15 16:00:48,2019-02-15 16:00:48,0.645s,PASSED
"delay(3, STOP_ON_FAILURE)",Chrome 71.0.3578.98,Delay,2019-02-15 16:00:48,2019-02-15 16:00:51,3.010s,PASSED
"click(findTestObject(""Perolehan/Left_Menu_Selection/div_PanelTitlePerolehan""))",Chrome 71.0.3578.98,Select Perolehan Sub-menu,2019-02-15 16:00:51,2019-02-15 16:00:52,0.158s,PASSED
"delay(3, STOP_ON_FAILURE)",Chrome 71.0.3578.98,Delay,2019-02-15 16:00:52,2019-02-15 16:00:55,3.004s,PASSED
"click(findTestObject(""Perolehan/Left_Menu_Selection/div_PesananTempatan""))",Chrome 71.0.3578.98,Click on Menu sisi,2019-02-15 16:00:55,2019-02-15 16:00:55,0.223s,PASSED
assert true,Chrome 71.0.3578.98,,2019-02-15 16:00:55,2019-02-15 16:00:55,0.002s,PASSED
delay(20),Chrome 71.0.3578.98,Pesanan Tempatan page loaded successfully,2019-02-15 16:00:55,2019-02-15 16:01:15,20.004s,PASSED
,,,,,,
Test Cases/Perolehan/002 Rekod Baru oleh Penyedia/001 Penyedia Rekod Baru,Chrome 71.0.3578.98,,2019-02-15 16:01:15,2019-02-15 16:02:41,1m - 26.715s,PASSED
"click(findTestObject(""Perolehan/Penyedia_RekodBaru/button_REKODBARU""))",Chrome 71.0.3578.98,Click on Rekod Baru to create new record,2019-02-15 16:01:15,2019-02-15 16:01:16,0.194s,PASSED
delay(10),Chrome 71.0.3578.98,Delay,2019-02-15 16:01:16,2019-02-15 16:01:26,10.005s,PASSED
mydate = new java.util.Date(),Chrome 71.0.3578.98,Get todays year and date,2019-02-15 16:01:26,2019-02-15 16:01:26,0.012s,PASSED
"formattedDate = mydate.format(""dd/MM/yyyy"")",Chrome 71.0.3578.98,Get todays date with format dd/MM/yyyy,2019-02-15 16:01:26,2019-02-15 16:01:26,0.001s,PASSED
"formattedYear = mydate.format(""yyyy"")",Chrome 71.0.3578.98,Get year with format yyyy,2019-02-15 16:01:26,2019-02-15 16:01:26,0.000s,PASSED
println(formattedDate),Chrome 71.0.3578.98,print date in dd/mm/yyyy format,2019-02-15 16:01:26,2019-02-15 16:01:26,0.000s,PASSED
println(formattedYear),Chrome 71.0.3578.98,print year in yyyy format,2019-02-15 16:01:26,2019-02-15 16:01:26,0.000s,PASSED
"TahunKewangan = getText(findTestObject(""Perolehan/Penyedia_RekodBaru/span_tahun_kewangan""))",Chrome 71.0.3578.98,Get the year of Tahun Kewangan,2019-02-15 16:01:26,2019-02-15 16:01:26,0.135s,PASSED
"verifyMatch(TahunKewangan, formattedYear, false)",Chrome 71.0.3578.98,Verify the year is a match,2019-02-15 16:01:26,2019-02-15 16:01:26,0.156s,PASSED
assert true,Chrome 71.0.3578.98,,2019-02-15 16:01:26,2019-02-15 16:01:26,0.001s,PASSED
"TarikhSemasa = getText(findTestObject(""Perolehan/Penyedia_RekodBaru/span_tarikhSemasa""))",Chrome 71.0.3578.98,Get the date of Tarikh Semasa,2019-02-15 16:01:26,2019-02-15 16:01:26,0.070s,PASSED
"verifyMatch(formattedDate, TarikhSemasa, false)",Chrome 71.0.3578.98,Verify the date is a match,2019-02-15 16:01:26,2019-02-15 16:01:26,0.004s,PASSED
"verifyElementVisible(findTestObject(""Perolehan/Penyedia_RekodBaru/label_Jenis Urusniaga""))",Chrome 71.0.3578.98,Verify Jenis Urusniaga is visible,2019-02-15 16:01:26,2019-02-15 16:01:26,0.110s,PASSED
"click(findTestObject(""Perolehan/Penyedia_RekodBaru/a_Jenis Urusniaga _textbox-ico""))",Chrome 71.0.3578.98,"Select from dropdown list of Jenis Urusniaga
",2019-02-15 16:01:26,2019-02-15 16:01:26,0.208s,PASSED
delay(2),Chrome 71.0.3578.98,Delay,2019-02-15 16:01:26,2019-02-15 16:01:28,2.004s,PASSED
"click(findTestObject(""Perolehan/Penyedia_RekodBaru/div_Pesanan_Tempatan_Auto""))",Chrome 71.0.3578.98,select PESANAN TEMPATAN AUTO,2019-02-15 16:01:28,2019-02-15 16:01:28,0.178s,PASSED
"verifyElementPresent(findTestObject(""Perolehan/Penyedia_RekodBaru/label_No. Dokumen""), 0)",Chrome 71.0.3578.98,verify No.Dokumen label is present,2019-02-15 16:01:28,2019-02-15 16:01:28,0.051s,PASSED
"verifyElementPresent(findTestObject(""Perolehan/Penyedia_RekodBaru/label_Tarikh Dokumen""), 0)",Chrome 71.0.3578.98,verify Tarikh Dokumen label is present,2019-02-15 16:01:28,2019-02-15 16:01:29,0.045s,PASSED
"verifyElementPresent(findTestObject(""Perolehan/Penyedia_RekodBaru/label_Pembekal""), 0)",Chrome 71.0.3578.98,verify Pembekal label is present,2019-02-15 16:01:29,2019-02-15 16:01:29,0.037s,PASSED
"verifyElementPresent(findTestObject(""Perolehan/Penyedia_RekodBaru/label_Cawangan Pembekal""), 0)",Chrome 71.0.3578.98,verify Cawangan Pembekal label is present,2019-02-15 16:01:29,2019-02-15 16:01:29,0.046s,PASSED
"verifyElementPresent(findTestObject(""Perolehan/Penyedia_RekodBaru/label_Sila Bekalkan Sebelum at""), 0)",Chrome 71.0.3578.98,verify Sila Bekalkan Sebelum atau pada label is present,2019-02-15 16:01:29,2019-02-15 16:01:29,0.046s,PASSED
"click(findTestObject(""Perolehan/Penyedia_RekodBaru/a_Pembekal _textbox-icon combo""))",Chrome 71.0.3578.98,Click to select Pembekal drop-down,2019-02-15 16:01:29,2019-02-15 16:01:29,0.256s,PASSED
"click(findTestObject(""Perolehan/Penyedia_RekodBaru/Select_Pembekal_AA_DUA""))",Chrome 71.0.3578.98,Select Pembekal from the list,2019-02-15 16:01:29,2019-02-15 16:01:29,0.136s,PASSED
"getText(findTestObject(""Perolehan/Penyedia_RekodBaru/input_No.Akaun Pembekal _textb""), STOP_ON_FAILURE)",Chrome 71.0.3578.98,Verify that No Akaun Pembekal is populated,2019-02-15 16:01:29,2019-02-15 16:01:29,0.094s,PASSED
"getText(findTestObject(""Perolehan/Penyedia_RekodBaru/input_Cawangan Pembekal _textb""), STOP_ON_FAILURE)",Chrome 71.0.3578.98,Verify that Cawangan Pembekal is populated,2019-02-15 16:01:29,2019-02-15 16:01:29,0.076s,PASSED
"click(findTestObject(""Perolehan/Penyedia_RekodBaru/Date_Picker_Bekal_Kerja""))",Chrome 71.0.3578.98,Select date picker,2019-02-15 16:01:29,2019-02-15 16:01:29,0.167s,PASSED
delay(1),Chrome 71.0.3578.98,Delay,2019-02-15 16:01:29,2019-02-15 16:01:30,1.004s,PASSED
"click(findTestObject(""Perolehan/Penyedia_RekodBaru/Date_Picker_Bekal_Kerja_Next_Month""))",Chrome 71.0.3578.98,Select for next month from date picker,2019-02-15 16:01:30,2019-02-15 16:01:30,0.122s,PASSED
delay(1),Chrome 71.0.3578.98,Delay,2019-02-15 16:01:30,2019-02-15 16:01:31,1.003s,PASSED
"click(findTestObject(""Perolehan/Penyedia_RekodBaru/Date_Picker_Bekal_Kerja_Date""))",Chrome 71.0.3578.98,Select date,2019-02-15 16:01:31,2019-02-15 16:01:32,0.137s,PASSED
"setText(findTestObject(""Perolehan/Penyedia_RekodBaru/Text_box_Perihal""), ""This is a test for automation scripts - Julia"")",Chrome 71.0.3578.98,Input Perihal details,2019-02-15 16:01:32,2019-02-15 16:01:32,0.319s,PASSED
"click(findTestObject(""Perolehan/Penyedia_RekodBaru/button_TambahCajLine""))",Chrome 71.0.3578.98,Click button Tambah Caj Line,2019-02-15 16:01:32,2019-02-15 16:01:32,0.201s,PASSED
"click(findTestObject(""Perolehan/Penyedia_RekodBaru/Drop_down_Vot_Dana""))",Chrome 71.0.3578.98,Click Vot Dana drop down to select a value,2019-02-15 16:01:32,2019-02-15 16:01:32,0.215s,PASSED
delay(1),Chrome 71.0.3578.98,Delay,2019-02-15 16:01:32,2019-02-15 16:01:33,1.003s,PASSED
"setText(findTestObject(""Perolehan/Penyedia_RekodBaru/Input_Vot_Dana""), ""B31"")",Chrome 71.0.3578.98,Input B31 to filter specific value,2019-02-15 16:01:33,2019-02-15 16:01:34,0.320s,PASSED
"click(findTestObject(""Perolehan/Penyedia_RekodBaru/Select_Vot_Dana_B31""))",Chrome 71.0.3578.98,Select Vot Dana B31,2019-02-15 16:01:34,2019-02-15 16:01:34,0.133s,PASSED
"click(findTestObject(""Perolehan/Penyedia_RekodBaru/Drop_down_Program_Aktiviti""))",Chrome 71.0.3578.98,Click Program Aktiviti drop down to select a value,2019-02-15 16:01:34,2019-02-15 16:01:34,0.182s,PASSED
delay(3),Chrome 71.0.3578.98,Delay,2019-02-15 16:01:34,2019-02-15 16:01:37,3.002s,PASSED
"click(findTestObject(""Perolehan/Penyedia_RekodBaru/Select_Program_Aktiviti_010080""))",Chrome 71.0.3578.98,Select Program Aktiviti 010080,2019-02-15 16:01:37,2019-02-15 16:01:37,0.180s,PASSED
"click(findTestObject(""Perolehan/Penyedia_RekodBaru/Drop_down_Kod_Akaun""))",Chrome 71.0.3578.98,Click Kod Akaun drop down to select a value,2019-02-15 16:01:37,2019-02-15 16:01:37,0.162s,PASSED
delay(1),Chrome 71.0.3578.98,Delay,2019-02-15 16:01:37,2019-02-15 16:01:38,1.001s,PASSED
"setText(findTestObject(""Perolehan/Penyedia_RekodBaru/input_kod_akaun""), ""B0221101"")",Chrome 71.0.3578.98,Search for Kod Akaun B0221101,2019-02-15 16:01:38,2019-02-15 16:01:39,0.443s,PASSED
delay(1),Chrome 71.0.3578.98,Delay,2019-02-15 16:01:39,2019-02-15 16:01:40,1.003s,PASSED
"click(findTestObject(""Perolehan/Penyedia_RekodBaru/Select_Kod_Akaun_B0221101""))",Chrome 71.0.3578.98,Select Kod Akaun B0221101,2019-02-15 16:01:40,2019-02-15 16:01:40,0.157s,PASSED
"click(findTestObject(""Perolehan/Penyedia_RekodBaru/Drop_down_Kod_Barang""))",Chrome 71.0.3578.98,Click kod barang drop down to select a value,2019-02-15 16:01:40,2019-02-15 16:01:40,0.193s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-02-15 16:01:40,2019-02-15 16:01:42,2.004s,PASSED
"click(findTestObject(""Perolehan/Penyedia_RekodBaru/SelectKod_Barang_2110100000000000000""))",Chrome 71.0.3578.98,Select kod barang 2110100000000000000 - MAKANAN DAN MINUMAN,2019-02-15 16:01:42,2019-02-15 16:01:42,0.144s,PASSED
"click(findTestObject(""Perolehan/Penyedia_RekodBaru/Drop_down_Kategori_Pesanan_Tempatan""))",Chrome 71.0.3578.98,Click Kategori Pesanan drop down to select a value,2019-02-15 16:01:42,2019-02-15 16:01:42,0.154s,PASSED
"click(findTestObject(""Perolehan/Penyedia_RekodBaru/Select_Kategori_Pesanan_BARANG""))",Chrome 71.0.3578.98,Select kategori pesanan Barang,2019-02-15 16:01:42,2019-02-15 16:01:43,0.192s,PASSED
"setText(findTestObject(""Perolehan/Penyedia_RekodBaru/input_kuantiti""), ""5"")",Chrome 71.0.3578.98,Input Kuantiti as 5,2019-02-15 16:01:43,2019-02-15 16:01:43,0.226s,PASSED
"click(findTestObject(""Perolehan/Penyedia_RekodBaru/Drop_down_Unit_Ukuran""))",Chrome 71.0.3578.98,Click unit ukuran drop down value,2019-02-15 16:01:43,2019-02-15 16:01:43,0.189s,PASSED
delay(2),Chrome 71.0.3578.98,Delay,2019-02-15 16:01:43,2019-02-15 16:01:45,2.002s,PASSED
"click(findTestObject(""Perolehan/Penyedia_RekodBaru/select_unit_ukuran_buah""))",Chrome 71.0.3578.98,Select unit ukuran buah,2019-02-15 16:01:45,2019-02-15 16:01:45,0.162s,PASSED
"setText(findTestObject(""Perolehan/Penyedia_RekodBaru/input_harga_seunit""), ""1.25"")",Chrome 71.0.3578.98,Input Harga Seunit as 1,2019-02-15 16:01:45,2019-02-15 16:01:46,0.328s,PASSED
"click(findTestObject(""Perolehan/Penyedia_RekodBaru/button_simpan_caj_line""))",Chrome 71.0.3578.98,Click on button Simpan to save the record,2019-02-15 16:01:46,2019-02-15 16:01:46,0.138s,PASSED
delay(10),Chrome 71.0.3578.98,Delay,2019-02-15 16:01:46,2019-02-15 16:01:56,10.003s,PASSED
"click(findTestObject(""Perolehan/Penyedia_RekodBaru/button_OK_Peruntukan_cukup""))",Chrome 71.0.3578.98,Click OK on prompt Bajet Mencukupi,2019-02-15 16:01:56,2019-02-15 16:01:56,0.127s,PASSED
"click(findTestObject(""Perolehan/Penyedia_RekodBaru/button_Simpan_Rekod""))",Chrome 71.0.3578.98,Click on Simpan to Save the record. Rekod ID will be generated,2019-02-15 16:01:56,2019-02-15 16:01:56,0.152s,PASSED
delay(20),Chrome 71.0.3578.98,Delay,2019-02-15 16:01:56,2019-02-15 16:02:16,20.002s,PASSED
"click(findTestObject(""Perolehan/Penyedia_RekodBaru/button_OK_Rekod_Berjaya_disimpan""))",Chrome 71.0.3578.98,Click OK to close the prompt,2019-02-15 16:02:16,2019-02-15 16:02:16,0.176s,PASSED
"JumlahPesananTempatan = getText(findTestObject(""Perolehan/Penyedia_RekodBaru/Jumlah_pesanan_tempatan""))",Chrome 71.0.3578.98,Get value of Jumlah Pesanan Tempatan,2019-02-15 16:02:16,2019-02-15 16:02:16,0.069s,PASSED
println(JumlahPesananTempatan),Chrome 71.0.3578.98,print Jumlah Pesanan Tempatan,2019-02-15 16:02:16,2019-02-15 16:02:16,0.001s,PASSED
"click(findTestObject(""Perolehan/Penyedia_RekodBaru/Tab_Penghantaran_Barang""))",Chrome 71.0.3578.98,Tab Penghantaran Barang is displayed,2019-02-15 16:02:16,2019-02-15 16:02:16,0.226s,PASSED
"click(findTestObject(""Perolehan/Penyedia_RekodBaru/button_tambah_master_barang""))",Chrome 71.0.3578.98,Tambah Maklumat Bekalan details is displayed,2019-02-15 16:02:16,2019-02-15 16:02:17,0.101s,PASSED
"setText(findTestObject(""Perolehan/Penyedia_RekodBaru/input_untuk_perhatian""), ""Yang Berkenaan"")",Chrome 71.0.3578.98,Input Yang Berkenaan value,2019-02-15 16:02:17,2019-02-15 16:02:17,0.659s,PASSED
"click(findTestObject(""Perolehan/Penyedia_RekodBaru/Drop_down_bekal_kepada_Jabatan""))",Chrome 71.0.3578.98,Select Jabatan from the dropdown list,2019-02-15 16:02:17,2019-02-15 16:02:17,0.176s,PASSED
"setText(findTestObject(""Perolehan/Penyedia_RekodBaru/input_bekal_kepada_jabatan""), ""004000"")",Chrome 71.0.3578.98,Input 004000 to search,2019-02-15 16:02:17,2019-02-15 16:02:18,0.380s,PASSED
delay(2),Chrome 71.0.3578.98,Delay,2019-02-15 16:02:18,2019-02-15 16:02:20,2.003s,PASSED
"click(findTestObject(""Perolehan/Penyedia_RekodBaru/select_jabatan_004000""))",Chrome 71.0.3578.98,Select Jabatan 004000,2019-02-15 16:02:20,2019-02-15 16:02:20,0.167s,PASSED
"click(findTestObject(""Perolehan/Penyedia_RekodBaru/Drop_down_master_PTJ""))",Chrome 71.0.3578.98,Click to select drop down value ,2019-02-15 16:02:20,2019-02-15 16:02:20,0.174s,PASSED
delay(2),Chrome 71.0.3578.98,Delay,2019-02-15 16:02:20,2019-02-15 16:02:22,2.002s,PASSED
"click(findTestObject(""Perolehan/Penyedia_RekodBaru/select_master_PTJ""))",Chrome 71.0.3578.98,Select 00400101 - Pejabat Kewangan & Perbendaharaan (Pegawai Kewangan Negeri),2019-02-15 16:02:22,2019-02-15 16:02:22,0.138s,PASSED
delay(2),Chrome 71.0.3578.98,Delay,2019-02-15 16:02:22,2019-02-15 16:02:24,2.003s,PASSED
"click(findTestObject(""Perolehan/Penyedia_RekodBaru/button_tambah_senarai_barang""))",Chrome 71.0.3578.98,Click on button Tambah Senarai Barang,2019-02-15 16:02:24,2019-02-15 16:02:24,0.152s,PASSED
delay(2),Chrome 71.0.3578.98,Delay,2019-02-15 16:02:24,2019-02-15 16:02:26,2.003s,PASSED
"click(findTestObject(""Perolehan/Penyedia_RekodBaru/Drop_down_senarai_barang""))",Chrome 71.0.3578.98,Click on drop down to select a value,2019-02-15 16:02:26,2019-02-15 16:02:27,0.160s,PASSED
delay(3),Chrome 71.0.3578.98,Delay,2019-02-15 16:02:27,2019-02-15 16:02:30,3.003s,PASSED
"click(findTestObject(""Perolehan/Penyedia_RekodBaru/Drop_down_Barang_1""))",Chrome 71.0.3578.98,Click on Senarai Brang item no 1,2019-02-15 16:02:30,2019-02-15 16:02:30,0.133s,PASSED
"setText(findTestObject(""Perolehan/Penyedia_RekodBaru/input_Kuantiti_senarai_barang""), ""5"")",Chrome 71.0.3578.98,Input kuantiti as 5,2019-02-15 16:02:30,2019-02-15 16:02:30,0.215s,PASSED
