Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Pesanan Tempatan - CEK - Perak,Chrome 73.0.3683.86,,2019-04-04 13:40:41,2019-04-04 13:48:59,8m - 18.249s,FAILED
,,,,,,
Test Cases/Perolehan/006 Arahan Bayaran/002 Arahan Bayaran - CEK,Chrome 73.0.3683.86,Create new REKOD BARU for arahan bayaran after kemasukan terimaan barang is saved,2019-04-04 13:40:41,2019-04-04 13:42:53,2m - 11.923s,PASSED
reusablefunctions.reusablefunctions.openbrowser(),Chrome 73.0.3683.86,Open browser,2019-04-04 13:40:42,2019-04-04 13:40:50,7.826s,PASSED
"reusablefunctions.reusablefunctions.Login(PenyediaPTJ, findTestData(""ispekstestdata"").getValue(2, 4))",Chrome 73.0.3683.86,Login into the system,2019-04-04 13:40:50,2019-04-04 13:41:06,16.581s,PASSED
delay(3),Chrome 73.0.3683.86,Delay,2019-04-04 13:41:06,2019-04-04 13:41:09,3.006s,PASSED
reusablefunctions.reusablefunctions.PerananPenyediaPTJ(),Chrome 73.0.3683.86,change peranan to penyedia PTJ,2019-04-04 13:41:09,2019-04-04 13:41:32,22.869s,PASSED
"click(findTestObject(""Perolehan/001 Left_Menu_Selection/a_ExpandMenuonLeft""))",Chrome 73.0.3683.86,Click on Menu Sisi to display Menu selections,2019-04-04 13:41:32,2019-04-04 13:41:32,0.449s,PASSED
"delay(3, STOP_ON_FAILURE)",Chrome 73.0.3683.86,Delay,2019-04-04 13:41:32,2019-04-04 13:41:35,3.009s,PASSED
"click(findTestObject(""Perolehan/001 Left_Menu_Selection/div_PanelTitlePerolehan""))",Chrome 73.0.3683.86,Select Perolehan Sub-menu,2019-04-04 13:41:35,2019-04-04 13:41:36,0.098s,PASSED
"delay(3, STOP_ON_FAILURE)",Chrome 73.0.3683.86,Delay,2019-04-04 13:41:36,2019-04-04 13:41:39,3.002s,PASSED
"click(findTestObject(""Perolehan/001 Left_Menu_Selection/div_Menu_ArahanBayaran""))",Chrome 73.0.3683.86,Click on Menu sisi and select Arahan Bayaran,2019-04-04 13:41:39,2019-04-04 13:41:39,0.148s,PASSED
