Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
02 Pesanan Tempatan Cara Bayaran CEK Dengan Pemfaktoran,Chrome 72.0.3626.121,,2019-03-11 10:25:46,2019-03-11 10:51:19,25m - 32.552s,FAILED
,,,,,,
Test Cases/Perolehan/001 Left Menu Selection/Select Menu Pesanan Tempatan,Chrome 72.0.3626.121,Select Perolehan and then select Pesanan Tempatan,2019-03-11 10:25:47,2019-03-11 10:26:46,59.096s,PASSED
"openBrowser(""https://175.143.52.101:7011/1SPEKSv2/"")",Chrome 72.0.3626.121,Open browser and input homepage URL ,2019-03-11 10:25:47,2019-03-11 10:25:51,4.169s,PASSED
"setText(findTestObject(""Login/input_NoKadPengenalan""), findTestData(""ispekstestdata"").getValue(1, 2))",Chrome 72.0.3626.121,Input User Name,2019-03-11 10:25:51,2019-03-11 10:25:52,0.633s,PASSED
"setEncryptedText(findTestObject(""Login/input_Password""), findTestData(""ispekstestdata"").getValue(2, 2))",Chrome 72.0.3626.121,Input Password,2019-03-11 10:25:52,2019-03-11 10:25:52,0.145s,PASSED
"click(findTestObject(""Login/input_ButtonLogMasuk""))",Chrome 72.0.3626.121,Click on Log Masuk button,2019-03-11 10:25:52,2019-03-11 10:25:59,6.589s,PASSED
delay(3),Chrome 72.0.3626.121,Delay,2019-03-11 10:25:59,2019-03-11 10:26:02,3.014s,PASSED
reusablefunctions.reusablefunctions.PerananPenyediaPTJ(),Chrome 72.0.3626.121,Change role to Penyedia PTJ,2019-03-11 10:26:02,2019-03-11 10:26:36,34.451s,PASSED
"click(findTestObject(""Perolehan/001 Left_Menu_Selection/a_ExpandMenuonLeft""))",Chrome 72.0.3626.121,Click on Menu Sisi to display Menu selections,2019-03-11 10:26:36,2019-03-11 10:26:37,0.398s,PASSED
"delay(3, STOP_ON_FAILURE)",Chrome 72.0.3626.121,Delay,2019-03-11 10:26:37,2019-03-11 10:26:40,3.006s,PASSED
"click(findTestObject(""Perolehan/001 Left_Menu_Selection/div_PanelTitlePerolehan""))",Chrome 72.0.3626.121,Select Perolehan Sub-menu,2019-03-11 10:26:40,2019-03-11 10:26:40,0.077s,PASSED
"delay(3, STOP_ON_FAILURE)",Chrome 72.0.3626.121,Delay,2019-03-11 10:26:40,2019-03-11 10:26:43,3.002s,PASSED
"click(findTestObject(""Perolehan/001 Left_Menu_Selection/div_PesananTempatan""))",Chrome 72.0.3626.121,Click on Menu sisi,2019-03-11 10:26:43,2019-03-11 10:26:43,0.125s,PASSED
assert true,Chrome 72.0.3626.121,,2019-03-11 10:26:43,2019-03-11 10:26:43,0.001s,PASSED
delay(3),Chrome 72.0.3626.121,Pesanan Tempatan page loaded successfully,2019-03-11 10:26:43,2019-03-11 10:26:46,3.003s,PASSED
,,,,,,
Test Cases/Perolehan/002 Rekod Baru oleh Penyedia/004 Penyedia Rekod Baru - CEK,Chrome 72.0.3626.121,this is a test case to create REKOD BARU for Pesanan Tempatan,2019-03-11 10:26:46,2019-03-11 10:28:24,1m - 37.815s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/button_REKODBARU""))",Chrome 72.0.3626.121,Click on Rekod Baru to create new record,2019-03-11 10:26:46,2019-03-11 10:26:46,0.074s,PASSED
delay(3),Chrome 72.0.3626.121,Delay,2019-03-11 10:26:46,2019-03-11 10:26:49,3.002s,PASSED
mydate = new java.util.Date(),Chrome 72.0.3626.121,Get todays year and date,2019-03-11 10:26:49,2019-03-11 10:26:49,0.000s,PASSED
"formattedDate = mydate.format(""dd/MM/yyyy"")",Chrome 72.0.3626.121,Get todays date with format dd/MM/yyyy,2019-03-11 10:26:49,2019-03-11 10:26:49,0.000s,PASSED
"formattedYear = mydate.format(""yyyy"")",Chrome 72.0.3626.121,Get year with format yyyy,2019-03-11 10:26:49,2019-03-11 10:26:49,0.000s,PASSED
println(formattedDate),Chrome 72.0.3626.121,print date in dd/mm/yyyy format,2019-03-11 10:26:49,2019-03-11 10:26:49,0.016s,PASSED
println(formattedYear),Chrome 72.0.3626.121,print year in yyyy format,2019-03-11 10:26:49,2019-03-11 10:26:49,0.000s,PASSED
"TahunKewangan = getText(findTestObject(""Perolehan/002 Penyedia_RekodBaru/span_tahun_kewangan""))",Chrome 72.0.3626.121,Get the year of Tahun Kewangan,2019-03-11 10:26:49,2019-03-11 10:26:49,0.056s,PASSED
"verifyMatch(TahunKewangan, formattedYear, false)",Chrome 72.0.3626.121,Verify the year is a match,2019-03-11 10:26:49,2019-03-11 10:26:49,0.006s,PASSED
assert true,Chrome 72.0.3626.121,,2019-03-11 10:26:49,2019-03-11 10:26:49,0.001s,PASSED
"TarikhSemasa = getText(findTestObject(""Perolehan/002 Penyedia_RekodBaru/span_tarikhSemasa""))",Chrome 72.0.3626.121,Get the date of Tarikh Semasa,2019-03-11 10:26:49,2019-03-11 10:26:49,0.034s,PASSED
"verifyMatch(formattedDate, TarikhSemasa, false)",Chrome 72.0.3626.121,Verify the date is a match,2019-03-11 10:26:49,2019-03-11 10:26:49,0.001s,PASSED
"verifyElementVisible(findTestObject(""Perolehan/002 Penyedia_RekodBaru/label_Jenis Urusniaga""))",Chrome 72.0.3626.121,Verify Jenis Urusniaga is visible,2019-03-11 10:26:49,2019-03-11 10:26:49,0.042s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/a_Jenis Urusniaga _textbox-ico""))",Chrome 72.0.3626.121,"Select from dropdown list of Jenis Urusniaga
",2019-03-11 10:26:49,2019-03-11 10:26:49,0.085s,PASSED
delay(2),Chrome 72.0.3626.121,Delay,2019-03-11 10:26:49,2019-03-11 10:26:51,2.003s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/div_Pesanan_Tempatan_Auto""))",Chrome 72.0.3626.121,select PESANAN TEMPATAN AUTO,2019-03-11 10:26:51,2019-03-11 10:26:51,0.087s,PASSED
"verifyElementPresent(findTestObject(""Perolehan/002 Penyedia_RekodBaru/label_No. Dokumen""), 0)",Chrome 72.0.3626.121,verify No.Dokumen label is present,2019-03-11 10:26:51,2019-03-11 10:26:51,0.024s,PASSED
"verifyElementPresent(findTestObject(""Perolehan/002 Penyedia_RekodBaru/label_Tarikh Dokumen""), 0)",Chrome 72.0.3626.121,verify Tarikh Dokumen label is present,2019-03-11 10:26:51,2019-03-11 10:26:51,0.021s,PASSED
"verifyElementPresent(findTestObject(""Perolehan/002 Penyedia_RekodBaru/label_Pembekal""), 0)",Chrome 72.0.3626.121,verify Pembekal label is present,2019-03-11 10:26:51,2019-03-11 10:26:51,0.026s,PASSED
"verifyElementPresent(findTestObject(""Perolehan/002 Penyedia_RekodBaru/label_Cawangan Pembekal""), 0)",Chrome 72.0.3626.121,verify Cawangan Pembekal label is present,2019-03-11 10:26:51,2019-03-11 10:26:52,0.022s,PASSED
"verifyElementPresent(findTestObject(""Perolehan/002 Penyedia_RekodBaru/label_Sila Bekalkan Sebelum at""), 0)",Chrome 72.0.3626.121,verify Sila Bekalkan Sebelum atau pada label is present,2019-03-11 10:26:52,2019-03-11 10:26:52,0.020s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/a_Pembekal _textbox-icon combo""))",Chrome 72.0.3626.121,Click to select Pembekal drop-down,2019-03-11 10:26:52,2019-03-11 10:26:52,0.087s,PASSED
delay(3),Chrome 72.0.3626.121,,2019-03-11 10:26:52,2019-03-11 10:26:55,3.004s,PASSED
"setText(findTestObject(""Perolehan/002 Penyedia_RekodBaru/input_name_Nama Pembekal""), ""JAMAL CHEF CATERING"")",Chrome 72.0.3626.121,,2019-03-11 10:26:55,2019-03-11 10:26:55,0.641s,PASSED
delay(3),Chrome 72.0.3626.121,,2019-03-11 10:26:55,2019-03-11 10:26:58,3.003s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/select_Pembekal Jamal""))",Chrome 72.0.3626.121,Select Pembekal from the list,2019-03-11 10:26:58,2019-03-11 10:26:58,0.080s,PASSED
delay(3),Chrome 72.0.3626.121,,2019-03-11 10:26:58,2019-03-11 10:27:01,3.003s,PASSED
"getText(findTestObject(""Perolehan/002 Penyedia_RekodBaru/input_No.Akaun Pembekal _textb""), STOP_ON_FAILURE)",Chrome 72.0.3626.121,Verify that No Akaun Pembekal is populated,2019-03-11 10:27:01,2019-03-11 10:27:01,0.054s,PASSED
"getText(findTestObject(""Perolehan/002 Penyedia_RekodBaru/input_Cawangan Pembekal _textb""), STOP_ON_FAILURE)",Chrome 72.0.3626.121,Verify that Cawangan Pembekal is populated,2019-03-11 10:27:01,2019-03-11 10:27:01,0.033s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/Date_Picker_Bekal_Kerja""))",Chrome 72.0.3626.121,Select date picker,2019-03-11 10:27:01,2019-03-11 10:27:02,0.077s,PASSED
delay(1),Chrome 72.0.3626.121,Delay,2019-03-11 10:27:02,2019-03-11 10:27:03,1.003s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/Date_Picker_Bekal_Kerja_Next_Month""))",Chrome 72.0.3626.121,Select for next month from date picker,2019-03-11 10:27:03,2019-03-11 10:27:03,0.079s,PASSED
delay(1),Chrome 72.0.3626.121,Delay,2019-03-11 10:27:03,2019-03-11 10:27:04,1.003s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/Date_Picker_Bekal_Kerja_Date""))",Chrome 72.0.3626.121,Select date,2019-03-11 10:27:04,2019-03-11 10:27:04,0.066s,PASSED
"setText(findTestObject(""Perolehan/002 Penyedia_RekodBaru/Text_box_Perihal""), ""This is a test for PT - Cek automation scripts - Julia "" + mydate)",Chrome 72.0.3626.121,Input Perihal details,2019-03-11 10:27:04,2019-03-11 10:27:04,0.183s,PASSED
delay(3),Chrome 72.0.3626.121,,2019-03-11 10:27:04,2019-03-11 10:27:07,3.002s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/button_TambahCajLine""))",Chrome 72.0.3626.121,Click button Tambah Caj Line,2019-03-11 10:27:07,2019-03-11 10:27:07,0.119s,PASSED
delay(3),Chrome 72.0.3626.121,,2019-03-11 10:27:07,2019-03-11 10:27:10,3.003s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/Drop_down_Vot_Dana""))",Chrome 72.0.3626.121,Click Vot Dana drop down to select a value,2019-03-11 10:27:10,2019-03-11 10:27:10,0.216s,PASSED
delay(8),Chrome 72.0.3626.121,,2019-03-11 10:27:10,2019-03-11 10:27:18,8.001s,PASSED
"waitForElementVisible(findTestObject(""Perolehan/002 Penyedia_RekodBaru/Input_Vot_Dana""), 60)",Chrome 72.0.3626.121,,2019-03-11 10:27:18,2019-03-11 10:27:18,0.048s,PASSED
"setText(findTestObject(""Perolehan/002 Penyedia_RekodBaru/Input_Vot_Dana""), ""B31"")",Chrome 72.0.3626.121,,2019-03-11 10:27:18,2019-03-11 10:27:18,0.172s,PASSED
"waitForElementVisible(findTestObject(""Perolehan/002 Penyedia_RekodBaru/Select_Vot_Dana_B31""), 60)",Chrome 72.0.3626.121,,2019-03-11 10:27:18,2019-03-11 10:27:18,0.035s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/Select_Vot_Dana_B31""))",Chrome 72.0.3626.121,Select Vot Dana B31,2019-03-11 10:27:18,2019-03-11 10:27:19,0.090s,PASSED
delay(3),Chrome 72.0.3626.121,,2019-03-11 10:27:19,2019-03-11 10:27:22,3.003s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/Drop_down_Program_Aktiviti""))",Chrome 72.0.3626.121,Click Program Aktiviti drop down to select a value,2019-03-11 10:27:22,2019-03-11 10:27:22,0.106s,PASSED
delay(3),Chrome 72.0.3626.121,Delay,2019-03-11 10:27:22,2019-03-11 10:27:25,3.003s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/Select_Program_160080""))",Chrome 72.0.3626.121,Select Program Aktiviti 010080,2019-03-11 10:27:25,2019-03-11 10:27:25,0.117s,PASSED
delay(3),Chrome 72.0.3626.121,,2019-03-11 10:27:25,2019-03-11 10:27:28,3.004s,PASSED
"click(findTestObject(""Perolehan/002 Penyedia_RekodBaru/Drop_down_Kod_Akaun""))",Chrome 72.0.3626.121,Click Kod Akaun drop down to select a value,2019-03-11 10:27:28,2019-03-11 10:27:28,0.102s,PASSED
delay(3),Chrome 72.0.3626.121,Delay,2019-03-11 10:27:28,2019-03-11 10:27:31,3.002s,PASSED
"setText(findTestObject(""Perolehan/002 Penyedia_RekodBaru/input_kod_akaun""), ""B0229401"")",Chrome 72.0.3626.121,Search for Kod Akaun B0221101,2019-03-11 10:27:31,2019-03-11 10:27:31,0.310s,PASSED
delay(3),Chrome 72.0.3626.121,Delay,2019-03-11 10:27:31,2019-03-11 10:27:34,3.002s,PASSED
